tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCACT447521,194,112150,6,6,6,0,155597,154985,12966.41666666667
SCIOT980921,174,113110,6,6,6,0,186454,186209,15537.83333333333
SCCBS270043,244,110100,594,594,594,0,1271525,32699,1070.307239057239
SCRAP100500,106,114700,18,18,18,0,7546,2550,209.6111111111111
SCPSO755351,219,111340,66,66,66,0,1035885,128204,7847.613636363636
SCSOS208003,206,111200,2089,2082,2089,7,2480086,36427,596.2972714217328
SCCBS241013,219,110910,48,48,48,0,83382,17540,868.5625
SCIAO520091,168,112130,6,5,6,1,152,58,6104.25
SCPDI343201,168,112940,36,36,36,0,16606,2876,230.6388888888889
SPWWMD01532,196,112640,20,22,22,0,32998877,16154362,785687.5476190476
SUCRM700047,171,112910,18,18,18,0,6002,2344,166.7222222222222
SMAERP14160,174,113110,15,15,16,0,59098,56205,1921.58064516129
SCACT444931,163,112820,82,81,81,1,4783116,428805,29344.26993865031
SUCRM100092,83,115710,30,30,30,0,81023,30866,1350.383333333333
SCIOT980921,160,112810,6,6,6,0,86640,86381,7220.0
SCIAO570141,226,111050,6,6,6,0,5162,4999,430.1666666666667
SCIOT980331,170,113030,8,8,8,0,35825,34192,2239.0625
SCBCN581010,198,111630,46,27,46,19,1440644,734271,37502.41304347826
SCCBS255151,175,112140,40,39,39,1,3180866,547529,40264.12658227848
SCSOS630271,232,110310,6,6,6,0,81563,81152,6796.916666666667
SCPSO755351,105,115640,6,6,6,0,99402,99201,8283.5
SCCBS275006,219,110330,12,12,12,0,1753,649,73.04166666666667
SUCRM300181,206,111200,6,6,6,0,365809,365350,30484.08333333333
SCACT445861,204,111650,56,56,56,0,135784,20214,1212.357142857143
SCCBS245161,115,114030,662,662,662,0,782387,28788,590.9267371601209
SCPDI344461,219,110330,2,2,2,0,103693,103575,25923.25
SUCRM100155,178,112540,36,36,36,0,58030,22975,805.9722222222222
SCSOS642751,109,114330,6,6,6,0,8059,7871,671.5833333333334
SCIAO550081,115,114030,26,25,26,1,168706,61854,3252.5
STTBXKMBREP,219,111340,13,13,13,0,62056,34256,2386.769230769231
SCACT421321,178,112540,6,6,6,0,21028,20878,1752.333333333333
SCLON810152,116,114420,6,6,6,0,20343,20017,1695.25
SCSOS620161,168,112130,674,669,674,5,429122,16430,327.9770029673591
SUCRM101006,198,111630,20,20,20,0,6827,1656,170.675
SMSLSP1532A,174,113110,6,6,6,0,308999,307456,25749.91666666667
SUCRM101009,108,115210,10,10,10,0,4474,2130,223.7
SCBCN159020,135,113800,36,36,36,0,18868,3289,262.0555555555555
SMAERP14211,104,115910,6,6,6,0,30149,29919,2512.416666666667
SCACT410371,144,113450,6,6,6,0,3388,3217,282.3333333333333
SPRTPQ26333,162,113040,10,9,9,1,570643,570336,30033.84210526316
SUCRM700037,168,112940,18,18,18,0,483887,181952,13441.30555555555
SUCRM100012,123,115030,6,7,7,0,1595931,1450256,122763.9230769231
SCACT450301,127,113600,52,52,52,0,261436,71655,2513.807692307692
SCACT422131,173,113210,12,12,12,0,22921,11688,955.0416666666666
STTBCT10004,217,111330,12,12,12,0,44672,24186,1861.333333333333
STTBET1708A,104,114340,54,54,54,0,622292,154126,5761.962962962963
SUCRM109000,178,112520,24,23,24,1,57165,19651,1527.666666666667
SCACT411601,225,110550,6,6,6,0,4025,3840,335.4166666666667
SCACT420011,123,115030,6,6,6,0,2728306,2728115,227358.8333333333
STTBXKMBREP,105,115640,13,13,13,0,54858,30738,2109.923076923077
SCSOS612111,172,113140,162,162,162,0,79474,5307,245.2901234567901
SCACT440421,105,115640,57,49,57,8,332423,73029,3727.69298245614
SCFOS671712,220,110240,12,12,12,0,9856402,6620309,410683.4166666667
SCIOT920241,196,112430,16,15,15,1,8422540,6773321,271694.8387096774
SCACT421211,138,113440,21,21,21,0,1786162,763188,42527.66666666666
SUCRM700006,105,115650,15,15,15,0,4253,1440,141.7666666666667
STTBET1755A,198,111630,12,12,12,0,51064,33415,2127.666666666667
SCIOT930591,238,110600,330,330,330,0,8632632,438068,13079.74545454545
STTBET1756A,104,114340,6,6,6,0,9245,8649,770.4166666666666
SCBCN121130,163,112820,34,34,34,0,413384,193373,6079.176470588235
SCIOT920111,138,113630,24,24,24,0,454873,134736,9476.520833333334
BBL001FDS01,104,114340,11,11,11,0,0,0,0.0
SUCRM101009,232,110310,35,35,35,0,17399,2840,248.5571428571428
SUCRM300124,238,110600,12,12,12,0,80279,72865,3344.958333333333
SCSOS620151,178,112540,168,166,168,2,1116715,69208,3359.639880952381
SCACT411071,195,111950,6,6,6,0,88271,88048,7355.916666666667
SMCPLY30811,217,111330,6,6,6,0,142140,141965,11845.0
SCPSO755961,249,110700,24,24,24,0,53084,19166,1105.916666666667
SUCRM300182,206,111200,18,18,18,0,8771570,4270209,243654.7222222222
SUCRM109000,163,112820,42,41,42,1,80415,27215,1018.095238095238
STTBCT0460E,225,110550,6,6,6,0,31810,31655,2650.833333333333
SCACT411071,228,110050,6,6,6,0,14215,14003,1184.583333333333
STTBET1905A,111,113850,66,66,66,0,143481,29281,1086.977272727273
SCRAP200630,138,113440,18,18,18,0,4787,2068,132.9722222222222
SUCRM200400,111,115050,18,18,18,0,197854,71320,5495.944444444444
SCCBS220201,206,111200,6,6,6,0,2560,2284,213.3333333333333
SCSOS610231,103,115820,12,12,12,0,200277,147226,8344.875
SCIAO520011,173,113210,4,4,4,0,0,0,0.0
SCACT421451,168,112130,42,42,42,0,37797,10561,449.9642857142857
SCACT441231,132,113930,12,12,12,0,5990,2860,249.5833333333333
SCIOT930011,117,114640,18,18,18,0,447183,360150,12421.75
SUCRM100022,237,110840,10,10,10,0,18893,9715,944.65
SCBCN581100,225,111250,6,6,6,0,8391,8040,699.25
SCACT440012,114,114820,6,6,6,0,7276,7131,606.3333333333334
SUCRM200400,97,114950,6,6,6,0,68826,68631,5735.5
SCPST772571,184,112400,9,6,9,3,480303,480097,52520.88888888889
SCRITF25051,196,112640,12,12,12,0,4458,2340,185.75
STTBXKMBRCV,116,114140,12,12,12,0,18780,11815,782.5
SCACT445511,108,114710,2,2,2,0,3667,3607,916.75
SCPST775011,99,115540,20,20,20,0,303129,157633,7578.225
