tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SMCRM100052,108,082800,18,18,18,0,7723873,3930617,214552.0277777778
SCRITF30022,222,085430,6,6,6,0,22830,22634,1902.5
SPRTPQ40003,163,082530,4,4,4,0,99609,78150,12451.125
SCCBS260281,166,084850,12,12,12,0,206586,158560,8607.75
SCCBS275003,84,081200,6,6,6,0,1558,1346,129.8333333333333
SCACT445532,95,081400,1052,1052,1052,0,605180,14273,287.6330798479087
SCACT411501,205,085010,28,27,28,1,1563018,785878,28199.66071428571
SMSLS00208A,222,085430,6,6,6,0,158687,158556,13223.91666666667
SCFOS670011,147,083620,6,6,6,0,21590,21423,1799.166666666667
SCSOS637041,109,082830,42,42,42,0,74713,16901,889.4404761904761
STTBMT9551H,95,080650,6,6,6,0,9482,9112,790.1666666666666
SCIOT930531,188,085230,42,18,42,24,379073,142950,7110.107142857143
SCACT445541,146,084550,18,18,18,0,92007,31984,2555.75
STTBCT10002,114,081600,30,30,30,0,80673,74630,1344.55
SCACT450272,137,083450,31,30,31,1,472647,136549,7762.887096774193
SUCRM700042,99,082120,12,12,12,0,133185,66788,5549.375
SCRAP200530,120,082900,12,12,12,0,2136,881,89.0
SUCRM100001,85,080750,10,10,10,0,55805,49566,2790.25
SCFOS670111,152,083750,12,12,12,0,64829,33136,2701.208333333333
SCSOS612071,142,083600,18,15,18,3,715,155,247.6944444444445
SCSOS613071,222,085430,6,5,6,1,210,93,337.9166666666667
SCACT410381,110,082450,6,6,6,0,8506,8344,708.8333333333334
SUCRM500029,165,084510,6,6,6,0,4235,4080,352.9166666666667
SMCPLY52321,152,083750,6,6,6,0,46352,46217,3862.666666666667
SUCRM700048,118,082640,114,114,114,0,96758,15108,424.3771929824562
SMAERP14200,138,083010,48,48,48,0,84575,32220,880.9895833333334
SCFOS670481,168,083700,6,6,6,0,231319,231161,19276.58333333333
SCPSI73157A,104,080100,2,3,3,0,17349224,17349178,3469844.8
SCCBS245161,221,085740,1823,1823,1823,0,1729269,28139,474.2921009325288
