tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCBCN581011,8,063520,48,45,48,3,217472,93343,2552.395833333333
SUCRM700093,17,065650,66,66,66,0,140908,17809,1067.484848484848
SCSOS610011,15,065800,9,8,9,1,3236,2939,472.7777777777778
SCACT410141,9,062150,6,6,6,0,61349,61180,5112.416666666667
SMCRM100005,15,064320,132,132,132,0,1208077,160901,4576.049242424242
SUCRM700093,20,065520,178,180,180,0,648193,40144,1810.594972067039
SMCRM100052,11,062540,12,12,12,0,45821,25112,1909.208333333333
SCACT421712,13,063510,6,6,6,0,654,534,54.5
SMCRM100005,13,064050,72,72,72,0,711283,142553,4939.465277777777
SCPDI345111,10,062240,6,6,6,0,365403,365084,30450.25
SCPDI344461,16,065530,6,6,6,0,90299,90059,7524.916666666667
SMAERP14610,7,062810,9,10,10,0,264412,261908,13916.42105263158
SCACT445861,24,065950,12,12,12,0,90437,52845,3768.208333333333
SCACT442071,8,062210,12,12,12,0,65790,57285,2741.25
SCACT411501,14,064450,6,6,6,0,32311,32144,2692.583333333333
SCRAP100500,7,061100,12,12,12,0,4233,1896,176.375
SCACT410321,8,063520,15,15,15,0,28018,20722,933.9333333333333
SCIOT931041,6,062800,78,78,78,0,216623,31224,1388.608974358974
SCBCN581020,15,064940,9,9,9,0,70387,66670,3910.388888888889
SCIOT931001,7,062810,98,91,98,7,2903226,357823,15066.69897959184
SUCRM500029,15,064210,6,6,6,0,15426,15245,1285.5
SCRAP400600,7,060210,12,12,12,0,7846,3743,326.9166666666667
SCRAP207530,17,065220,18,18,18,0,2950,801,81.94444444444444
SCACT441601,11,063310,6,6,6,0,8869,8734,739.0833333333334
SCIOT930151,11,064350,7,6,7,1,114687,114388,11777.14285714286
SCACT442071,9,063220,30,30,30,0,61830,29634,1030.5
SCSOS610011,8,061740,9,8,9,1,3624,3291,518.1111111111111
SCACT441511,8,063500,12,12,12,0,5685,3130,236.875
SCPDI344461,8,060000,30,30,30,0,1902547,439511,31709.11666666666
SCIOT980691,11,063310,152,143,151,9,3276765,574909,11082.06600660066
SCSOS610011,15,064830,9,8,9,1,3191,2902,502.6666666666667
SCRAP101700,12,063940,39,39,39,0,123119,43693,1578.448717948718
SUCUSC0009S,10,063850,39,39,39,0,179022,52624,2295.153846153846
SCSOS612011,12,063940,18,18,18,0,35998,16820,999.9444444444445
SCRAP207530,8,061720,18,18,18,0,3225,1055,89.58333333333333
SCIOT930021,20,065240,50,48,50,2,1202267,417027,12225.95
SUCRM100146,11,063910,6,6,6,0,3262,3099,271.8333333333333
SCIOT931031,9,063220,73,60,73,13,1310222,472037,18058.1301369863
SCACT440311,20,065520,6,6,6,0,10404,10260,867.0
SCPSI72423A,13,063510,6,6,6,0,11184,11053,932.0
SUCRM700041,8,062210,6,6,6,0,137213,101048,11434.41666666667
SCIOT930061,19,065250,538,538,538,0,7512808,265917,6982.163568773234
SCIOT930021,15,064830,74,68,74,6,1699303,1028785,11843.50675675676
SCACT445532,6,060700,72,72,72,0,23612,2784,163.9722222222222
SMCRM100043,25,065540,6,5,6,1,139,62,154.4166666666667
SCIOT930591,7,060100,5,5,5,0,237957,237692,23795.7
SCACT421712,10,063120,6,6,6,0,686,557,57.16666666666666
SCSOS644131,8,060540,12,12,12,0,15472,13085,644.6666666666666
SCIOT920011,8,062440,18,18,18,0,1421314,1109396,39480.94444444445
SCRAP300530,19,064740,18,18,18,0,2994,932,83.16666666666667
SCIOT931031,9,062620,28,20,28,8,547765,359424,20008.05357142857
SCIOT980141,10,063120,12,11,12,1,23832,23406,1271.125
SUCRM300125,8,062510,6,6,6,0,31027,30821,2585.583333333333
SCSOS637041,11,063840,6,6,6,0,4542,4285,378.5
SMCRM100029,13,065350,6,6,6,0,288275,288014,24022.91666666667
SCIOT931001,8,063520,29,29,29,0,1471293,427737,25367.12068965517
SCACT410321,7,062810,37,37,37,0,37905,11079,512.2297297297297
SCLON810152,15,064320,6,6,6,0,2551,2304,212.5833333333333
SPRATD54021,11,063810,6,6,6,0,112524,112179,9377.0
SCACT442071,9,062620,6,6,6,0,3552,3369,296.0
SCACT450262,7,062500,6,6,6,0,28117,27956,2343.083333333333
SPPFMHT001S,10,063340,10,10,10,0,881,349,44.05
SMCRM100029,16,065020,6,6,6,0,269990,253024,22499.16666666667
SCIOT930411,8,061410,7,6,7,1,93750,93536,7300.5
SCACT442071,9,062550,36,36,36,0,123181,36232,1710.847222222222
SCACT442401,9,063210,56,46,56,10,1393,77,899.4910714285714
SCTIS229451,7,061210,6,6,6,0,48471,48315,4039.25
SCCBS220021,24,065950,12,12,12,0,93702,91095,3904.25
SPRWMD7001H,7,060430,6,6,6,0,5106,4950,425.5
SCRAP300530,7,061100,18,18,18,0,3041,881,84.47222222222223
SPPFMHT001S,8,062000,345,345,345,0,26433,905,38.30869565217391
SCSOS620181,7,062950,42,42,42,0,397977,128951,4737.821428571428
SCIOT930571,20,064810,6,6,6,0,814766,814497,67897.16666666667
SCCBS255913,20,065240,240,240,240,0,719457,23964,1498.86875
SCCBS270511,12,063630,6,6,6,0,3343348,3343125,278612.3333333333
SCRAP501000,7,060130,12,12,12,0,2129,899,88.70833333333333
SCIOT930061,7,060910,44,42,44,2,401876,88771,4792.454545454545
SCIOT930021,7,060900,36,24,36,12,410260,136070,6989.638888888889
SCBCN159020,12,063630,6,6,6,0,2215,2090,184.5833333333333
SCRAP400600,7,060550,12,12,12,0,8637,4521,359.875
SCCBS245161,7,060140,52,52,52,0,145983,29994,1403.682692307692
SCSOS612111,7,062500,6,6,6,0,2132,1966,177.6666666666667
SCIOT930151,6,061810,7,6,7,1,101421,101127,9081.857142857143
SCBCN221020,17,065100,60,60,60,0,123830,15765,1031.916666666667
SCRAP400600,24,065950,12,12,12,0,7845,3762,326.875
SPRWMD7001H,15,064130,6,6,6,0,4420,4275,368.3333333333333
SUCRM700006,15,064210,5,5,5,0,1352,1022,135.2
SCRAP501000,19,064740,18,18,18,0,3297,990,91.58333333333333
SUCRM500013,15,064830,15,15,15,0,7387,2253,246.2333333333333
SPWWMD05181,16,065020,24,24,24,0,441208,135467,9191.833333333334
SCACT440451,8,061410,6,6,6,0,10306,10164,858.8333333333334
SCPSI72423A,10,063120,6,6,6,0,10898,10773,908.1666666666666
SCACT445901,7,060210,9,9,9,0,88476,49344,4915.333333333333
SPRWMD7001H,12,064240,6,6,6,0,4773,4618,397.75
SPPFMDF0003,6,062800,6,6,6,0,56529,56380,4710.75
SCACT445532,6,061440,28,28,28,0,24075,9377,429.9107142857143
SCRAP501000,8,061010,12,12,12,0,2137,879,89.04166666666667
SCRAP200630,10,062520,18,18,18,0,4490,1340,124.7222222222222
SUCRM200400,15,064130,6,6,6,0,67668,67506,5639.0
SCCBS255914,9,062740,6,6,6,0,29102,28901,2425.166666666667
