openapi_history_id,openapi_master_id,execute_date,execute_time,total,succeeded,failed,inserted,queried,runtime,yyyymmdd
45,1,20190420,0603,1077,1024,53,2019-04-20 06:03:26,2019-05-04 10:51:00,2019-05-04 10:51:31.608,20190420
46,1,20190420,0629,1077,1024,53,2019-04-20 06:29:31,2019-05-04 10:51:00,2019-05-04 10:51:31.608,20190420
47,1,20190420,0648,1077,1077,0,2019-04-20 06:48:34,2019-05-04 10:51:00,2019-05-04 10:51:31.609,20190420
48,1,20190420,0658,1077,1077,0,2019-04-20 06:58:27,2019-05-04 10:51:00,2019-05-04 10:51:31.61,20190420
49,1,20190420,0703,1077,1077,0,2019-04-20 07:03:32,2019-05-04 10:51:00,2019-05-04 10:51:31.611,20190420
50,1,20190420,0731,1077,1077,0,2019-04-20 07:31:31,2019-05-04 10:51:00,2019-05-04 10:51:31.612,20190420
51,1,20190420,0815,1077,1077,0,2019-04-20 08:15:41,2019-05-04 10:51:00,2019-05-04 10:51:31.613,20190420
52,1,20190420,1115,1077,1077,0,2019-04-20 11:15:35,2019-05-04 10:51:00,2019-05-04 10:51:31.613,20190420
53,1,20190420,1415,1077,1077,0,2019-04-20 14:15:31,2019-05-04 10:51:00,2019-05-04 10:51:31.614,20190420
54,1,20190420,1715,1077,1077,0,2019-04-20 17:15:30,2019-05-04 10:51:00,2019-05-04 10:51:31.615,20190420
55,1,20190420,2015,1077,1077,0,2019-04-20 20:15:26,2019-05-04 10:51:00,2019-05-04 10:51:31.616,20190420
56,1,20190420,2315,1077,1077,0,2019-04-20 23:15:28,2019-05-04 10:51:00,2019-05-04 10:51:31.617,20190420
57,1,20190421,0215,1077,1077,0,2019-04-21 02:15:30,2019-05-04 10:51:00,2019-05-04 10:51:31.617,20190421
58,1,20190421,0515,1077,1077,0,2019-04-21 05:15:31,2019-05-04 10:51:00,2019-05-04 10:51:31.648,20190421
59,1,20190421,0815,1077,1077,0,2019-04-21 08:15:31,2019-05-04 10:51:00,2019-05-04 10:51:31.649,20190421
60,1,20190421,1115,1077,1077,0,2019-04-21 11:15:29,2019-05-04 10:51:00,2019-05-04 10:51:31.651,20190421
61,1,20190421,1415,1077,1077,0,2019-04-21 14:15:30,2019-05-04 10:51:00,2019-05-04 10:51:31.652,20190421
62,1,20190421,1715,1077,1077,0,2019-04-21 17:15:31,2019-05-04 10:51:00,2019-05-04 10:51:31.653,20190421
63,1,20190421,2015,1077,1077,0,2019-04-21 20:15:33,2019-05-04 10:51:00,2019-05-04 10:51:31.654,20190421
64,1,20190421,2315,1077,1077,0,2019-04-21 23:15:30,2019-05-04 10:51:00,2019-05-04 10:51:31.655,20190421
65,1,20190422,0215,1077,1077,0,2019-04-22 02:15:30,2019-05-04 10:51:00,2019-05-04 10:51:31.656,20190422
66,1,20190422,0515,1077,1077,0,2019-04-22 05:15:28,2019-05-04 10:51:00,2019-05-04 10:51:31.69,20190422
67,1,20190422,0815,1077,1077,0,2019-04-22 08:15:37,2019-05-04 10:51:00,2019-05-04 10:51:31.691,20190422
68,1,20190422,1115,1077,1077,0,2019-04-22 11:15:36,2019-05-04 10:51:00,2019-05-04 10:51:31.691,20190422
69,1,20190422,1415,1077,1077,0,2019-04-22 14:15:33,2019-05-04 10:51:00,2019-05-04 10:51:31.692,20190422
70,1,20190422,1619,1077,1077,0,2019-04-22 16:19:52,2019-05-04 10:51:00,2019-05-04 10:51:31.692,20190422
71,1,20190422,1620,1077,1077,0,2019-04-22 16:20:35,2019-05-04 10:51:00,2019-05-04 10:51:31.693,20190422
72,1,20190422,1621,1077,1077,0,2019-04-22 16:21:37,2019-05-04 10:51:00,2019-05-04 10:51:31.693,20190422
73,1,20190422,1622,1077,1077,0,2019-04-22 16:22:33,2019-05-04 10:51:00,2019-05-04 10:51:31.694,20190422
74,1,20190422,1623,1077,1077,0,2019-04-22 16:23:39,2019-05-04 10:51:00,2019-05-04 10:51:31.694,20190422
75,1,20190422,1715,1077,1077,0,2019-04-22 17:15:35,2019-05-04 10:51:00,2019-05-04 10:51:31.694,20190422
76,1,20190422,2015,1077,1077,0,2019-04-22 20:15:28,2019-05-04 10:51:00,2019-05-04 10:51:31.695,20190422
77,1,20190422,2315,1077,1077,0,2019-04-22 23:15:28,2019-05-04 10:51:00,2019-05-04 10:51:31.695,20190422
78,1,20190423,0215,1077,1077,0,2019-04-23 02:15:30,2019-05-04 10:51:00,2019-05-04 10:51:31.696,20190423
81,1,20190425,2015,1077,0,1077,2019-04-25 20:15:08,2019-05-04 10:51:00,2019-05-04 10:51:31.732,20190425
82,1,20190425,2315,1077,0,1077,2019-04-25 23:15:10,2019-05-04 10:51:00,2019-05-04 10:51:31.765,20190425
83,1,20190426,0215,1077,0,1077,2019-04-26 02:15:08,2019-05-04 10:51:00,2019-05-04 10:51:31.766,20190426
84,1,20190426,0515,1077,0,1077,2019-04-26 05:15:08,2019-05-04 10:51:00,2019-05-04 10:51:31.799,20190426
85,1,20190426,0815,1077,0,1077,2019-04-26 08:15:07,2019-05-04 10:51:00,2019-05-04 10:51:31.799,20190426
