tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCFOS671011,156,171700,10,10,10,0,229305,117745,11465.25
SCSOS620151,145,172020,24,24,24,0,75815,45420,1579.479166666667
SCCBS210571,135,173000,6,6,6,0,2604,2374,217.0
SCPSO755381,78,175830,4,3,4,1,13619,13499,3340.875
SUCRM109000,116,173440,30,30,30,0,80756,19640,1345.933333333333
SCSOS612011,150,172150,18,18,18,0,98743,80932,2742.861111111111
SUCRM101006,104,174250,45,45,45,0,19092,4110,212.1333333333333
SMSLS00221A,104,174250,12,12,12,0,2468,1144,102.8333333333333
SUCRM103002,144,171540,6,6,6,0,57108,45710,4759.0
SMFACR3201A,168,170010,12,12,12,0,2054920,2016691,85621.66666666667
SCSOS610061,164,170630,6,6,6,0,604764,604543,50397.0
SUCRM100167,154,170330,6,6,6,0,102760,102521,8563.333333333334
SCSOS612111,145,172020,66,66,66,0,26155,2602,198.1439393939394
SCBCN580100,154,172900,6,6,6,0,33284,33017,2773.666666666667
SCACT421712,138,172740,6,6,6,0,1194,1038,99.5
SCRAP400600,106,174600,12,12,12,0,8375,3968,348.9583333333333
SCPDI349131,135,173000,60,60,60,0,267194,47952,2226.616666666667
STTBOT4921A,130,172840,2,3,3,0,21493063,21491577,4298612.6
SUCRM300125,154,172900,12,12,12,0,56825,31490,2367.708333333333
SPRTPQ3102N,125,172810,6,6,6,0,37931,37772,3160.916666666667
SCCBS250011,117,173520,78,78,78,0,213642,17540,1369.5
SCIOT930021,151,171650,193,174,192,19,2568854,261059,7082.184415584416
SCACT421321,119,173420,6,5,6,1,162,58,1334.583333333333
SMSLS00208A,88,175220,12,12,12,0,769967,664259,32081.95833333333
SCSOS610091,105,174440,42,40,42,2,52097,16987,971.8809523809524
STTBCT10004,156,170250,6,6,6,0,14734,14261,1227.833333333333
SUCRM200019,96,174050,5,5,5,0,741885,740124,74188.5
SCSOS612121,145,173050,6,6,6,0,1306,1106,108.8333333333333
SCRITF70281,173,170120,6,6,6,0,622563,622423,51880.25
STTBET1708A,88,175220,66,66,66,0,1075075,134790,8144.507575757576
SUCRM300125,135,173000,24,24,24,0,124171,37876,2586.895833333333
SCSOS610231,105,174440,36,35,36,1,254567,73515,3591.861111111111
SCACT442071,125,173330,48,48,48,0,151450,52402,1577.604166666667
SUCRM700043,102,174850,12,12,12,0,67086,36750,2795.25
SMCRM100005,156,171700,84,84,84,0,881317,220321,5245.934523809524
SCCBS275003,99,175110,24,24,24,0,3005,573,62.60416666666666
SPRATD54021,124,172430,24,24,24,0,83130,26814,1731.875
SRMASM2201A,105,174440,12,12,12,0,46900,30217,1954.166666666667
STTBOT4P12A,141,171730,12,12,12,0,1858118,931496,77421.58333333333
SCACT445861,192,170730,18,18,18,0,52617,20469,1461.583333333333
SCBCN221030,175,170030,12,12,12,0,39339,21444,1639.125
STTBCT10001,101,174110,6,6,6,0,15072,14914,1256.0
STTBXU6011A,119,173420,18,18,18,0,9577,4820,266.0277777777778
BPPFMCCEXEC,146,171940,1556,778,778,778,2843231,14329,1218.179520137104
SCCBS270044,130,172840,6,6,6,0,20090,18957,1674.166666666667
SCCBS255151,135,173020,18,18,18,0,1335025,458304,37084.02777777778
SCCRD200003,103,173910,21,19,19,2,389806,206290,9745.15
SCCBS270091,139,173110,7,7,7,0,8580,8386,612.8571428571429
SUIBS000610,110,174410,12,12,12,0,9386,4572,391.0833333333333
SCSOS620181,166,172630,650,650,651,0,5939661,187799,4613.328209069946
SCIAO512241,145,172020,584,585,585,0,5411748,141401,4629.382378100941
SUCRM700093,155,171240,480,480,480,0,1524786,53215,1588.31875
SCPDI348041,171,171610,6,6,6,0,9885,9717,823.75
BPPFMCCEXEC,166,170040,2,1,1,1,3429,3429,1143.0
SCTIS229452,146,171940,6,6,6,0,3279,3140,273.25
SCBCN121011,192,170730,14,14,14,0,39956,16214,1427.0
SCCPLY20031,150,172150,6,6,6,0,23036,22874,1919.666666666667
SCIOT930671,164,170630,12,12,12,0,189151,119944,7881.291666666667
SCIOT930051,153,171600,44,44,45,0,1528042,361216,17357.14606741573
