tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCACT442071,7,035900,6,6,6,0,48229,48042,4019.083333333333
SCRAP200530,6,034650,12,12,12,0,2160,870,90.0
SCACT410321,7,035440,5,5,5,0,4388,4222,438.8
SCSOS644131,6,032510,20,20,20,0,7023,1624,175.575
SCACT441651,7,035900,4,3,3,1,115,53,16.42857142857143
SCBCN100210,7,032930,12,12,12,0,2003236,1001499,83468.16666666667
SCACT442401,6,031130,6,5,6,1,177,61,449.0
SPRATD54021,6,031840,18,18,18,0,118366,37707,3287.944444444444
SCACT441441,6,030110,2,2,2,0,2865,2781,716.25
SCRAP300530,7,032210,12,12,12,0,2132,918,88.83333333333333
SCACT442401,5,030100,12,10,12,2,387,86,672.5416666666666
SCRAP501000,7,032210,12,12,12,0,2267,980,94.45833333333333
SCRAP200530,7,031010,12,12,12,0,2345,1015,97.70833333333333
SCIOT930021,7,033050,18,18,18,0,248275,84809,6896.527777777777
SCSOS643471,7,035640,6,6,6,0,27188,26946,2265.666666666667
SCACT421712,7,034440,6,6,6,0,779,631,64.91666666666667
SPPFMHT001S,4,030320,60,60,60,0,5271,448,43.925
SCBCN100210,7,032000,12,12,12,0,2003358,1001528,83473.25
SCBCN121040,6,034650,12,12,12,0,20514,12102,854.75
SCIOT920011,7,031750,12,12,12,0,32597,16811,1358.208333333333
SCCBS210431,7,031410,12,12,12,0,3859,1918,160.7916666666667
SCCBS215051,7,031620,23,23,23,0,3358,849,73.0
SUCUSC0009S,7,030640,4,4,4,0,9561,5174,1195.125
SCCBS245161,7,033810,12,12,12,0,50999,32519,2124.958333333333
SCRAP101700,7,031350,39,39,39,0,112175,28335,1438.141025641026
SCACT447601,7,034210,7,6,7,1,30331,30170,3326.428571428572
SCBCN121140,7,034950,12,12,12,0,23289,13280,970.375
SCIOT980291,7,034220,6,6,6,0,12168,11943,1014.0
SCRAP101700,6,035650,13,13,13,0,35056,26302,1348.307692307692
SCACT421712,7,034940,6,6,6,0,835,661,69.58333333333333
SCBCN100210,7,033400,12,12,12,0,2003410,1001528,83475.41666666667
SCRAP400600,7,033830,12,12,12,0,8083,3936,336.7916666666667
SCCBS215051,7,035710,23,23,23,0,3640,917,79.1304347826087
SCIOT930061,7,033700,20,18,20,2,146197,48579,4050.7
SCACT410141,6,035740,6,6,6,0,16753,16525,1396.083333333333
SCACT442401,7,030640,10,7,10,3,391,87,2336.75
SCSOS612121,8,035410,2,2,2,0,1110,1037,277.5
SCSOS620181,7,035130,24,24,24,0,158383,48878,3299.645833333333
SPPFMADM001,7,031750,4,3,3,1,93,52,13.28571428571429
SCRAP207530,7,033400,18,18,18,0,3046,878,84.61111111111111
BBL001FDS01,7,032930,1,1,1,0,0,0,0.0
SCBCN100200,7,033740,18,18,18,0,3322,1006,92.27777777777777
SMSLS00221A,6,033730,12,12,12,0,2569,1156,107.0416666666667
SCRAP101700,7,035430,52,51,51,1,427172,271877,4147.300970873786
SCACT421712,6,035220,6,6,6,0,827,647,68.91666666666667
SCRAP101700,6,031130,13,13,13,0,34234,25569,1316.692307692308
SCIOT980691,6,030110,25,25,25,0,566667,384336,11333.34
SPPFMHT001S,7,034940,95,95,95,0,15007,7811,78.98421052631579
SCIOT980691,7,031810,20,20,20,0,251343,176475,6283.575
SCSOS612111,9,031040,6,6,6,0,3231,3067,269.25
SCRITF25051,7,035640,12,12,12,0,3129,1689,130.375
SCSOS644131,7,033930,20,20,20,0,11235,5793,280.875
