tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCACT400341,15,200350,6,6,6,0,49145,49012,4095.416666666667
SUCUS00035S,15,202900,8,8,8,0,32563,31468,2035.1875
SCCBS215051,15,202840,42,42,42,0,4908,654,58.42857142857143
SCSOS612011,10,203930,36,36,36,0,73188,17883,1016.5
SCIOT920011,12,202930,27,28,28,0,475954,290257,8653.709090909091
SCIOT980691,13,203010,360,345,360,15,4323678,568678,6176.906944444445
SCIAO540091,13,202920,6,6,6,0,162030,161890,13502.5
SCACT430601,12,203200,6,6,6,0,8989,8823,749.0833333333334
SCACT445532,11,201000,194,195,195,0,102232,16172,262.8071979434447
SCIAO540091,15,203350,6,6,6,0,3602,3466,300.1666666666667
SCBCN100200,11,205930,18,18,18,0,6035,3347,167.6388888888889
SCBCN100200,11,204340,12,12,12,0,2464,1116,102.6666666666667
MCBCNO10013,12,205450,2,2,2,0,0,0,0.0
SCSOS612121,12,203130,8,8,8,0,2329,1081,145.5625
STTBXKMBREP,15,200030,13,13,13,0,123817,66353,4762.192307692308
SCACT442071,15,203250,24,24,24,0,31670,18487,659.7916666666666
SCACT442071,14,202820,24,24,24,0,55064,32808,1147.166666666667
SCIOT980321,14,202820,9,6,9,3,172772,172552,10704.38888888889
SCACT411211,12,201020,6,6,6,0,2472,2315,206.0
SCACT445861,11,200520,28,28,28,0,234201,110799,4182.160714285715
SCSOS620181,17,202750,74,74,74,0,527258,97924,3562.554054054054
SUCRM700093,15,201320,12,12,12,0,37324,24678,1555.166666666667
SCRAP100500,12,201200,12,12,12,0,4085,1835,170.2083333333333
SCSOS620181,13,202420,248,247,248,1,1817275,128506,3667.677419354839
SVTBBT7904A,11,205930,6,6,6,0,4298,4130,358.1666666666667
SCRAP207530,12,204110,18,18,18,0,2837,831,78.80555555555556
SCBCN121011,11,200520,12,12,12,0,36431,23897,1517.958333333333
SCACT441631,12,202950,6,5,6,1,149,64,125.3333333333333
SCCBS245161,10,201530,142,142,142,0,247651,23229,872.0105633802817
SCBCN121020,14,202540,30,30,30,0,182388,137155,3039.8
SCPSO755351,15,200030,4,4,4,0,583470,318654,72933.75
SPRTPQ30041,14,203910,8,9,9,0,707104,432136,41594.35294117647
STTBMT9541B,16,204230,12,12,12,0,24221,17470,1009.208333333333
SCCBS245161,14,201640,138,138,138,0,284829,24304,1031.989130434783
SUCUS00124S,15,205820,8,8,8,0,39724,30379,2482.75
SCPSO755351,16,200340,14,12,14,2,115238,68649,4617.392857142857
SCBCN121080,11,202300,12,12,12,0,20419,11523,850.7916666666666
SCFOS687391,16,203500,12,12,12,0,18868,9773,786.1666666666666
SUIBS000554,25,203640,12,12,12,0,675154,339001,28131.41666666667
SCCBS210431,9,203430,24,24,24,0,7556,1892,157.4166666666667
SCPDI344461,11,205840,6,6,6,0,89871,89611,7489.25
SCRAP101700,10,202400,85,85,85,0,181768,27193,1069.223529411765
SCPSO755351,14,201740,7,6,7,1,215528,215358,15848.85714285714
SCSOS630531,21,200710,90,90,90,0,948235,464796,5267.972222222223
SCPDI344461,11,200730,14,14,14,0,451283,180856,16117.25
SPRATD54021,13,203220,36,36,36,0,160122,36871,2223.916666666667
SCSOS620181,13,202920,92,92,92,0,912109,102231,4957.114130434783
STHITCOM009,12,201450,6,6,6,0,6664,6337,555.3333333333334
SCACT445861,11,201250,8,8,8,0,21691,12584,1355.6875
STTBCT10006,12,202950,6,6,6,0,14158,13919,1179.833333333333
SCCBS245161,10,204740,170,171,171,0,413633,33892,1213.0
SCBCN120200,12,205450,15,14,14,1,286291,271172,9872.103448275862
SCSOS637041,13,203830,18,18,18,0,299797,269163,8327.694444444445
BBL001FDS01,10,201530,9,9,9,0,0,0,0.0
SCBCN100200,10,201130,18,18,18,0,6356,3972,176.5555555555555
SCSOS630291,12,201200,24,24,24,0,107939,95028,2248.729166666667
STTBXKMBRCV,16,204840,12,12,12,0,22604,14660,941.8333333333334
SCIOT931041,11,203630,238,238,238,0,716783,90926,1505.846638655462
BBL001FDS01,14,201640,8,8,8,0,0,0,0.0
SCRAP400600,11,201510,12,12,12,0,7920,3761,330.0
SCTIS229451,10,200120,6,6,6,0,99859,99729,8321.583333333334
SCIAO552211,16,203500,6,6,6,0,46795,46605,3899.583333333333
SCACT411211,15,205820,12,12,12,0,4259,2162,177.4583333333333
STTBXKMBRCV,13,201440,12,12,12,0,24586,14992,1024.416666666667
SCSOS610091,8,201420,3,2,3,1,13710,13634,6366.5
SCACT440421,12,204830,7,6,7,1,79108,78966,6321.357142857143
STTBCT10004,16,204840,12,12,12,0,59652,37688,2485.5
SPRTPQ40003,25,203640,6,6,6,0,19156,18961,1596.333333333333
SCSOS643471,16,202350,12,12,12,0,4136,1926,172.3333333333333
STTBXKMBREP,16,205240,13,13,13,0,75352,37460,2898.153846153846
SCCBS215051,14,202540,12,12,12,0,1388,606,57.83333333333334
STTBXKMBREP,12,204830,13,13,13,0,47354,27306,1821.307692307692
SCBCN100200,12,205740,12,12,12,0,13480,12111,561.6666666666666
SCSOS612111,11,203630,26,26,26,0,10643,2074,204.6730769230769
SCCBS270311,14,202710,5,4,4,1,1519,1279,168.7777777777778
SCACT447591,12,203200,7,6,7,1,53801,53518,7415.5
SCIOT930021,11,204630,145,122,142,23,2117634,284113,7845.891986062717
SCBCN581010,15,201320,17,9,17,8,496938,493764,36123.79411764706
SCRAP300530,11,201310,18,18,18,0,3062,826,85.05555555555556
