tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCIAO540091,9,221730,6,6,6,0,5868,5717,489.0
SMIFMCOM08A,12,220140,12,12,12,0,2011,825,83.79166666666667
SCACT442101,11,220720,6,6,6,0,6407,6272,533.9166666666666
SCACT411501,7,223600,14,13,14,1,29828,29327,2149.142857142857
SCACT445511,9,222100,29,24,26,5,1568833,1547244,56645.29090909091
SCACT444561,13,221650,2,2,2,0,12894,12830,3223.5
SPPFMHT001S,12,224650,582,582,582,0,43792,690,37.62199312714777
STTBCT0010A,13,223020,6,6,6,0,124935,124711,10411.25
SCIOT930581,13,223030,13,10,13,3,197915,107338,8722.846153846154
SCSOS630531,9,222430,198,198,198,0,5845467,1760667,14761.2803030303
SCIOT931031,11,221540,65,50,65,15,845957,219550,13233.25384615385
SCIOT980141,11,220240,6,5,6,1,254,128,376.0833333333333
SCRITF25051,10,225950,30,29,30,1,6287,1770,111.7166666666667
SPPFMHT001S,10,220350,712,712,712,0,49407,705,34.69592696629213
SCSOS630291,7,223810,16,16,16,0,10356,5209,323.625
SCRAP501000,8,222110,18,18,18,0,2996,843,83.22222222222223
SPRTPQ40067,12,223100,6,5,6,1,172,85,326.5833333333333
SCLON831061,10,225850,0,1,1,0,161916,161916,161916.0
SCRAP100500,11,222650,12,12,12,0,3948,1813,164.5
SCIOT980381,16,221300,2,2,2,0,14134,14071,3533.5
SCRAP300530,11,223120,12,12,12,0,2706,1217,112.75
SCACT421712,13,224740,6,6,6,0,691,549,57.58333333333334
SCIOT920011,8,225220,21,22,22,0,1182774,500128,27506.37209302326
SCRAP101700,10,225850,99,99,99,0,1536179,235671,7758.479797979798
SMAERP14610,7,224030,21,22,22,0,4498336,3582694,104612.4651162791
SPRATD54061,11,220120,12,12,12,0,150427,125335,6267.791666666667
SPRATD54021,10,220130,6,6,6,0,25429,24831,2119.083333333333
SCSOS630291,12,223250,36,36,36,0,127754,44704,1774.361111111111
SCIOT980291,9,220010,11,11,12,0,40263,17662,2014.913043478261
SCSOS620141,11,225130,137,138,138,0,1614084,234753,5869.396363636363
SPRATD54021,11,220240,12,12,12,0,75935,52112,3163.958333333333
SCACT410321,11,221240,141,141,141,0,317908,37316,1127.333333333333
SCACT442401,12,221140,103,87,103,16,36477,21070,1236.47572815534
SCACT450301,10,220820,12,12,12,0,33176,27385,1382.333333333333
SCBCN159010,10,225020,21,20,21,1,38322,17374,957.452380952381
SCPSO755381,12,223100,26,26,26,0,89187,20217,1715.134615384615
SCACT441511,12,220250,6,6,6,0,2521,2377,210.0833333333333
BVTBB451020,25,222000,2,2,2,0,1634,935,408.5
SCPSO755961,7,223420,22,22,22,0,25936,8619,589.4545454545455
SCACT447591,17,221250,20,18,20,2,122821,64325,5760.45
SCBCN159020,11,224320,6,6,6,0,2288,2117,190.6666666666667
SCFOS687151,10,225120,6,6,6,0,9494,9313,791.1666666666666
SCCBS215051,10,220510,12,12,12,0,1528,651,63.66666666666666
SCACT410171,9,224930,6,6,6,0,1331,1207,110.9166666666667
SCACT450301,11,225750,16,16,16,0,120644,87029,3770.125
SCSOS620181,10,224630,148,149,149,0,1216349,182325,4095.451178451178
SCRAP200630,9,225810,18,18,18,0,4151,1210,115.3055555555556
SCACT440012,9,222700,12,12,12,0,25197,20101,1049.875
SCIOT930581,25,222000,8,7,8,1,483875,397773,30743.875
