tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCCBS270521,225,103910,6,5,6,1,181,75,147.1666666666667
SCCBS255061,222,103110,12,11,12,1,5469,4799,911.375
SUCRM307008,205,103500,159,153,153,6,48185877,1762959,154441.9134615385
SCACT445561,230,105210,30,30,30,0,39431,20049,657.1833333333333
SCIOT930151,224,100740,8,6,8,2,115469,115164,11283.5625
SUCRM700063,209,104000,48,48,48,0,150964,25135,1572.541666666667
SCACT411511,223,101220,12,12,12,0,38656,30629,1610.666666666667
SCACT445011,240,104420,2,2,2,0,1334,859,333.5
SPRTPQ41014,204,102410,6,6,6,0,71314,71126,5942.833333333333
STTBET1219A,225,100320,4,3,3,1,117,71,16.71428571428572
SCBCN581220,224,101850,6,6,6,0,20842,20414,1736.833333333333
SCCBS241013,218,100840,53,53,53,0,162334,34381,1531.452830188679
SCIOT950071,228,104340,6,5,6,1,238,113,242.8333333333333
SUCRM400037,219,100410,5,5,5,0,1365,1253,136.5
SCIOT930581,224,101640,673,647,671,26,22083107,471684,16686.91889880952
SCFOS671521,244,101820,492,492,492,0,1080038,28576,1097.599593495935
SCACT411131,231,105850,18,18,18,0,23074,7936,640.9444444444445
SCPST778151,227,102140,6,6,6,0,113608,113268,9467.333333333334
SUCRM300016,196,102530,31,32,32,0,11335831,8813338,179933.8253968254
SCGNAV45081,205,103500,30,30,30,0,234198,53189,3903.3
SCFOS671521,240,104420,522,522,522,0,1101398,35347,1054.978927203065
SCPDI348041,220,100620,6,6,6,0,14376,14175,1198.0
SCSOS620181,205,103600,4254,4224,4251,30,46307691,414842,5475.157554379776
SCSCAE31032,230,104310,30,30,30,0,99128,59172,1652.133333333333
SCPSI73302A,227,102740,6,6,6,0,2319107,2318950,193258.9166666667
SCSOS630021,221,100530,6,6,6,0,46455,46272,3871.25
SCSOS610111,230,101720,12,12,12,0,67756,26596,2823.166666666667
SPRTPQ23223,217,103520,6,6,6,0,420572,420285,35047.66666666666
SPRATD54021,191,103400,30,30,30,0,96765,25678,1612.75
SCIAO522111,232,104400,12,12,12,0,18559,10194,773.2916666666666
STTBCT10001,231,105120,24,24,24,0,76963,23344,1603.395833333333
SCBCN221030,239,101000,12,12,12,0,57378,31430,2390.75
SCIOT930061,224,101640,860,784,859,76,15477457,466432,9652.364165212333
SUCRM101002,209,102240,165,165,165,0,110173,28642,333.8575757575758
SMFACR1211B,228,104340,18,18,18,0,175672,102344,4879.777777777777
STTBFT5500B,230,100050,6,6,6,0,33991,33832,2832.583333333333
SUCRM100022,219,100410,20,20,20,0,35117,8007,877.925
SUIBS000472,227,102140,40,40,40,0,89828,15720,1122.85
SMCRM100028,225,103910,6,6,6,0,338160,337904,28180.0
SCBCN159020,208,102050,6,6,6,0,3821,3551,318.4166666666667
SUCRM100167,205,105600,12,12,12,0,419945,268094,17497.70833333333
SCPSI72104A,196,102530,12,10,12,2,371,76,2289.208333333333
SMFACR1208A,209,104000,8,8,8,0,21748,18526,1359.25
SCACT445532,224,104720,2463,2462,2463,1,1747997,15018,354.9415347137637
