tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCACT420591,161,165140,12,12,12,0,409482,236611,17061.75
SCPSB781211,171,160530,18,18,18,0,14458,6277,401.6111111111111
SCPSI73131A,200,164350,12,12,12,0,51874,40526,2161.416666666667
SCRAP400600,162,164750,12,12,12,0,8146,3891,339.4166666666667
SCCBS210481,180,163750,6,6,6,0,5979,5666,498.25
SUCUS00125S,164,164900,4,3,3,1,93,57,13.28571428571429
SCIAO540091,159,163010,6,6,6,0,15913,15758,1326.083333333333
SCSOS630301,175,161200,6,6,6,0,134815,134617,11234.58333333333
SPTWMQ57253,170,163640,6,6,6,0,167705,166863,13975.41666666667
SCACT450191,170,163640,18,17,18,1,15238,8276,790.3888888888889
SMCRM100027,189,163050,12,12,12,0,2241212,1687772,93383.83333333333
SCSOS612011,190,162000,135,135,135,0,375806,36488,1391.874074074074
SUCRM100023,167,162610,55,55,55,0,1627329,275036,14793.9
SCIAO510011,187,160130,12,12,12,0,261377,163927,10890.70833333333
SUCRM700007,148,163000,5,5,5,0,3914,3440,391.4
SUCRM300022,153,160800,4,3,3,1,111,70,15.85714285714286
SCPDI34P041,165,164440,6,6,6,0,667,484,55.58333333333334
SCRITF26021,172,162220,8,9,9,0,95371,85394,5610.058823529412
SCACT410141,176,163250,12,12,12,0,42688,37114,1778.666666666667
SUIBS000010,178,165410,5,5,5,0,14814,14644,1481.4
SUCRM200500,147,165510,6,6,6,0,2327,2129,193.9166666666667
STTBMT9553D,185,161550,6,6,6,0,7684,7530,640.3333333333334
SUCRM100060,168,162230,5,5,5,0,4763,4241,476.3
SCPSI74533A,194,160140,466,466,466,0,20696924,925232,22207.0
SCACT445532,167,165640,605,604,604,1,335050,13955,277.1298593879239
SMAERP13190,161,161530,14,15,15,0,13088208,4506267,451317.5172413793
SMSLS00003A,167,162610,24,20,24,4,596,84,775.1458333333334
SCSOS612071,159,163140,12,12,12,0,21094,10990,878.9166666666666
SCCBS270501,159,163010,2,3,3,0,4144865,4144819,828973.0
