tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCCBS270311,17,192630,10,8,8,2,2621,1171,145.6111111111111
SCCBS245161,22,191350,122,122,122,0,246173,46415,1008.905737704918
SCLON820051,15,193650,12,12,12,0,64929,34906,2705.375
SCSOS630291,11,195620,8,8,8,0,4118,3889,257.375
SVTBBT7904A,25,190350,12,12,12,0,19809,10645,825.375
STCCOI1021B,17,193550,60,60,60,0,384467,46788,3203.891666666667
SCBCN121130,14,192000,12,12,12,0,26163,15742,1090.125
SUCRM700093,12,194940,6,6,6,0,10266,10113,855.5
SCIOT931031,17,192400,72,56,72,16,802593,169223,11373.20138888889
SMSLS00288A,11,195920,24,24,24,0,239220,150333,4983.75
SPPFMDFEXEC,13,193520,988,988,988,0,98771,9238,49.98532388663968
SUIBS000528,18,192850,10,10,10,0,22303,14596,1115.15
STTBET1752G,22,190830,6,6,6,0,6457,6243,538.0833333333334
SCRAP400600,20,191430,18,18,18,0,11987,3833,332.9722222222222
SUCRM207002,15,195250,6,6,6,0,1071,949,89.25
SUCUS00002I,10,195910,7,7,7,0,54671,50276,3905.071428571428
SCBCN121150,18,192840,12,12,12,0,21205,13121,883.5416666666666
SPRTPQ41011,16,192620,6,6,6,0,200883,200714,16740.25
SCACT441511,18,192320,14,14,14,0,8957,3325,319.8928571428572
SCACT442112,12,193000,6,5,6,1,128,56,637.6666666666666
SCACT411501,14,194130,6,6,6,0,29184,29002,2432.0
SCACT450272,16,192600,7,6,7,1,48047,47911,3791.642857142857
SUCUSC02311,13,192930,7,6,6,1,1939892,1939727,149222.4615384615
SCACT450262,15,192450,24,24,24,0,18410,4933,383.5416666666667
SCRAP200630,17,193550,18,18,18,0,4414,1436,122.6111111111111
SCPSO755351,11,194910,6,4,6,2,209359,124062,18381.83333333333
SCSOS630531,14,195940,78,78,78,0,1020339,608372,6540.634615384615
SMFACR1202A,15,195200,6,6,6,0,108519,108342,9043.25
STTBXKMBRCV,12,195950,12,12,12,0,17641,11912,735.0416666666666
SCBCN100230,11,195620,6,6,6,0,794,654,66.16666666666667
SUCRM101003,14,194950,45,45,45,0,120193,26756,1335.477777777778
SCRAP400600,21,190400,12,12,12,0,8071,3901,336.2916666666667
SCRAP300530,17,190950,18,18,18,0,2931,760,81.41666666666667
SCRAP421521,21,190650,13,14,14,0,1649729,772589,61101.07407407407
STTBCT0505A,14,195940,104,105,105,0,5139234,678527,24589.63636363636
SCACT442401,14,192000,122,100,122,22,15778,12530,1234.799180327869
SCTIS229452,13,195100,6,6,6,0,3019,2884,251.5833333333333
SCCBS275001,14,192440,18,18,18,0,2277,592,63.25
SCIOT930051,13,191830,5,4,5,1,409367,323933,47405.0
SCBCN100200,12,194650,18,18,18,0,6056,3690,168.2222222222222
SCCBS210491,15,193350,5,4,4,1,1305,1077,145.0
SCSOS643471,10,193240,18,18,18,0,102356,44293,2843.222222222222
SPTWMQ99963,12,194650,9,10,10,0,474719,464374,24985.21052631579
SCRAP590151,14,193530,12,12,12,0,49618,31794,2067.416666666667
SCRAP100500,12,194220,12,12,12,0,4211,1851,175.4583333333333
SCACT445511,22,190300,8,6,8,2,1547042,1530994,192341.0625
SCBCN581220,21,190520,6,6,6,0,30720,30403,2560.0
SCIOT920011,15,193650,8,8,8,0,243223,195436,15201.4375
SCRAP207530,22,190830,12,12,12,0,1902,777,79.25
SCBCN221020,11,195050,40,38,40,2,237238,95664,3871.425
SCSOS630531,22,190540,126,126,126,0,710803,46666,2820.646825396826
SUCRM100034,17,194540,5,5,5,0,317780,315136,31778.0
SCBCN581220,23,190820,6,6,6,0,8214,7900,684.5
SCSOS301051,19,191110,46,46,46,0,9651825,1136869,104911.1413043478
SCIOT930061,14,195940,132,122,132,10,1531198,362776,6103.55303030303
SUCRM307008,16,192600,26,26,26,0,3373131,875604,64867.90384615384
SCIOT930021,12,195950,101,90,101,11,662444,51473,3739.470297029703
SCACT430541,14,192430,6,6,6,0,18364,18173,1530.333333333333
SCIOT930021,15,194050,79,66,79,13,1038023,304992,7239.898734177215
SCIOT931031,17,192030,86,66,86,20,1139043,259656,13453.60465116279
SCACT421712,14,193730,6,6,6,0,760,598,63.33333333333334
SCIAO510291,14,194440,7,6,7,1,35872,35746,3002.357142857143
SCSOS301051,19,190810,70,71,71,0,29616417,19725285,210045.5106382979
SPPFMDF0003,15,192450,6,6,6,0,2744890,2744724,228740.8333333333
SCFOS687031,15,193850,18,18,18,0,38907,13692,1080.75
SCACT410111,12,192240,6,6,6,0,11845,11677,987.0833333333334
STTBXKMBREP,11,195420,13,13,13,0,42029,25476,1616.5
SCPDI344461,11,195710,12,12,12,0,177328,88427,7388.666666666667
SCRAP100500,17,190950,12,12,12,0,4186,1887,174.4166666666667
SCBCN151010,22,190830,10,9,10,1,639568,635955,62309.95
SUIBS000046,17,191030,5,5,5,0,2068714,2068262,206871.4
SCBCN221060,25,190230,12,12,12,0,104160,60270,4340.0
SMSLS00221A,19,191720,12,12,12,0,4443,2464,185.125
SCACT445531,21,190650,3,3,3,0,83268,43036,13878.0
SCACT445861,21,190400,24,24,24,0,107696,41191,2243.666666666667
SCACT445531,21,190520,9,9,9,0,83135,43093,4618.611111111111
STTBCT10004,20,191220,6,6,6,0,29301,28791,2441.75
BPPFMCCEXEC,22,190000,4,2,2,2,5553,2821,925.5
SPPFMHT001S,17,193550,600,600,600,0,44704,1752,37.25333333333333
SVTBBT7904A,12,194110,6,6,6,0,7996,7853,666.3333333333334
SCPDI344461,28,190150,6,6,6,0,90450,90138,7537.5
SCSOS620121,12,193000,6,6,6,0,5926,5687,493.8333333333333
SCSOS610061,10,194000,9,8,9,1,4213,3857,603.6111111111111
SCACT400341,11,194400,6,6,6,0,58933,58792,4911.083333333333
STHITCOM009,19,191140,6,6,6,0,7490,7029,624.1666666666666
SCRAP200530,15,193650,18,18,18,0,2893,781,80.36111111111111
SCSOS631201,17,193550,24,24,24,0,55531,20031,1156.895833333333
SUCRM700105,14,194230,6,6,6,0,19877,19632,1656.416666666667
SCIAO512010,14,194230,6,6,6,0,11777,11655,981.4166666666666
SCIOT930591,13,195220,15,15,15,0,277145,162829,9238.166666666666
SCSOS620161,12,192910,36,36,36,0,15784,2956,219.2222222222222
SCRAP200530,13,193520,12,12,12,0,1955,783,81.45833333333333
BBL001FDS02,11,194250,2,2,2,0,0,0,0.0
SCSOS630531,26,190200,234,234,234,0,2089699,904174,4465.168803418804
STTBCT10002,21,191050,6,6,6,0,1533,1397,127.75
SCPSO755351,23,190820,6,6,6,0,72086,71925,6007.166666666667
SCACT445861,9,194830,12,12,12,0,44351,37169,1847.958333333333
SCPDI344461,12,194450,6,6,6,0,94941,94649,7911.75
SCBCN221020,11,195710,18,18,18,0,148927,104221,4136.861111111111
SCSOS630291,12,194220,6,6,6,0,4455,4281,371.25
