tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCPSI74099A,220,153510,6,6,6,0,8731,8577,727.5833333333334
SCSOS630531,211,152550,162,162,162,0,495856,50216,1530.41975308642
SCACT440801,242,153500,6,6,6,0,11555,11396,962.9166666666666
SMCPLY40581,223,154740,12,12,12,0,71444,45716,2976.833333333333
SCRAP207530,226,153250,12,12,12,0,2548,1065,106.1666666666667
SCACT490911,213,150550,6,6,6,0,4237,4065,353.0833333333333
SCBCN121011,235,153010,48,48,48,0,193559,43743,2016.239583333333
SMFACR1521A,220,151800,6,6,6,0,33692,33525,2807.666666666667
SCACT490061,227,151200,60,50,60,10,2279,126,1273.233333333333
SUCRM101002,187,155950,265,265,265,0,118873,4834,224.288679245283
SMIFMH5860D,213,155400,6,6,6,0,512,367,42.66666666666666
SCCBS210491,190,155530,8,8,8,0,319048,316743,19940.5
SUCRM700011,171,155920,20,20,20,0,505408,223579,12635.2
SUCRM100063,218,154540,10,10,10,0,17701,8975,885.05
SCBCN100210,228,153810,15,15,15,0,2019486,1001413,67316.2
SCSOS625211,218,154840,6,6,6,0,733918,733708,61159.83333333334
SCIAO570181,228,153810,6,6,6,0,53931,53780,4494.25
SCIOT950071,202,152150,7,7,7,0,419237,362420,29945.5
SUCUS00045U,224,150750,24,22,24,2,17746,11282,430.8958333333333
SCLON831061,209,154340,30,30,30,0,247781,134906,4129.683333333333
SCBCN580660,209,154340,12,12,12,0,20681,15586,861.7083333333334
STCCOCOM001,260,153150,6,6,6,0,4567,4388,380.5833333333333
SMFACR3603A,257,154030,48,48,48,0,356809,126941,3716.760416666667
SCRAP101700,257,154030,203,203,203,0,1907567,201421,4698.440886699507
SCACT445861,218,152910,86,86,86,0,237912,34486,1383.209302325581
SCSOS610011,279,153140,159,152,159,7,525440,91012,1854.345911949686
SCACT444986,228,153810,78,78,78,0,70490,14325,451.8589743589744
STTBXKMBREP,242,153500,13,13,13,0,75862,41103,2917.769230769231
SCACT410321,256,151320,1460,1457,1460,3,2142790,26756,734.7157534246576
SPWWMD01412,237,150010,6,6,6,0,2333,1955,194.4166666666667
STTBCT10002,228,152730,18,18,18,0,5146,2161,142.9444444444445
SUCRM700006,220,153510,20,20,20,0,5820,1170,145.5
SMCRM100005,259,152020,18,18,18,0,183995,113071,5110.972222222223
SPRTPQ3102G,189,155050,12,12,12,0,10958,5999,456.5833333333333
SPRWMD7001H,218,153630,6,6,6,0,4584,4428,382.0
SCACT444986,232,152110,36,35,36,1,26031,7372,389.5694444444445
SCIAO531162,209,154340,6,6,6,0,14404,14239,1200.333333333333
STTBET1703C,190,155530,6,6,6,0,63762,63618,5313.5
SUCUSPC0061,203,150320,8,6,8,2,1954,1637,231.625
STTBBT2053A,227,154810,42,42,42,0,7866,1504,93.64285714285714
SCACT450251,232,151000,6,6,6,0,16529,16303,1377.416666666667
SCPSO755381,241,153310,8,8,8,0,124539,106849,7783.6875
SCACT450301,220,151040,54,54,54,0,309999,86654,2870.361111111111
SCIOT930141,279,153140,4,6,6,0,349810,191671,34981.0
SCACT447041,205,150030,6,6,6,0,32120,31754,2676.666666666667
SUCRM100060,218,154840,5,5,5,0,4380,3912,438.0
SCACT430041,209,154340,18,15,18,3,514,104,1663.25
SCACT410034,212,150340,36,36,36,0,30666,8925,425.9166666666667
SUCRM200400,216,152710,30,30,30,0,462563,130835,7709.383333333333
SMSLS00208A,221,152000,84,84,84,0,2240903,287034,13338.70833333333
SCIOT930661,221,152000,24,18,24,6,373353,141904,12755.35416666667
SCSOS637021,262,150840,5,5,5,0,15222,14987,1522.2
SCSOS631191,238,151330,250,249,250,1,2221185,182151,4455.538
SCSOS613071,221,152000,12,10,12,2,537,144,691.9583333333334
SCIOT931041,185,155200,1022,1023,1023,0,3032601,168556,1482.934474327628
SCACT490271,213,150550,248,248,248,0,538579,48574,1085.844758064516
SCACT430221,262,150840,12,12,12,0,41474,20666,1728.083333333333
SCLON840351,203,150320,100,99,99,1,6021249,564315,30257.53266331658
SCSOS643471,213,151810,86,86,86,0,64343,10161,374.0872093023256
SCSOS208001,208,150720,2096,2097,2097,0,5261064,156682,1254.725494872406
SUCRM700024,208,150710,6,6,6,0,1277,1169,106.4166666666667
SMSLS00208A,241,153400,30,30,30,0,785207,299276,13086.78333333333
STTBET1905A,208,150710,90,90,90,0,197167,20918,1095.372222222222
SCACT442111,229,151920,7,6,7,1,149537,149355,10711.35714285714
SMFACR1612A,223,154740,8,8,8,0,85363,83777,5335.1875
SCLON821181,260,153150,20,20,20,0,1061428,363642,26535.7
SCBCN120200,216,152710,15,14,14,1,999921,984864,34480.03448275862
STTBET1703C,218,150430,6,6,6,0,26542,26383,2211.833333333333
SCACT444131,202,154910,6,6,6,0,10338,10159,861.5
SCIOT960091,244,151420,6,6,6,0,21103,20828,1758.583333333333
SCCBS255914,173,155610,6,6,6,0,34175,33933,2847.916666666667
SCIOT980901,233,154730,9,10,10,0,21487,16742,1130.894736842105
SCACT410221,216,154350,8,8,8,0,10256307,5166689,641019.1875
SCRAP200530,201,154930,12,12,12,0,2180,970,90.83333333333333
SCFOS675021,242,151730,60,60,60,0,2230117,316147,18584.30833333333
SCACT442071,196,155510,84,84,84,0,149983,22749,892.7559523809524
SCRITF26021,228,151950,6,6,6,0,1179185,1178930,98265.41666666667
SCFOS670011,268,151310,29,27,29,2,40697,15840,1358.086206896552
SCACT410171,235,150050,2,2,2,0,1473,1415,368.25
SCRAP501000,228,152730,18,18,18,0,3742,1045,103.9444444444444
BBL001FDS01,221,152000,25,25,25,0,0,0,0.0
SCACT441511,242,151730,114,114,114,0,184602,20336,809.6578947368421
SCFOS670491,203,150320,6,6,6,0,43592,43294,3632.666666666667
SUCRM700006,232,152110,20,20,20,0,5668,1166,141.7
SCACT450301,216,150440,72,72,72,0,183822,33507,1276.541666666667
SCIOT920011,213,155400,157,167,167,0,9715890,5768886,29987.31481481481
SMCRM100019,235,153010,6,6,6,0,23536,23381,1961.333333333333
SCSOS641111,242,153500,18,18,18,0,24338,10969,676.0555555555555
SCIOT980441,227,151200,8,8,8,0,98270,96474,6141.875
STTBET1708D,251,153240,72,71,72,1,123500,15090,994.2916666666666
SCACT490351,262,150840,12,10,12,2,380,66,306.125
SCRAP100500,274,153040,18,18,18,0,12233,4133,339.8055555555555
SUIBS000581,206,154550,23,24,24,0,541247,247154,11515.89361702128
SMFACR1521A,182,155000,42,42,42,0,304982,60956,3630.738095238095
SCIOT980411,238,151330,16,14,16,2,71442,68989,2432.96875
SCIOT931031,217,154650,398,299,396,99,4281145,224863,11127.41561712846
SUCRM100063,218,154840,5,5,5,0,8917,8802,891.7
SCBCN580070,227,151200,6,6,6,0,27802,27593,2316.833333333333
SUCRM700011,189,155420,35,35,35,0,675948,220018,9656.4
SCSOS630121,229,153750,6,6,6,0,15053,14846,1254.416666666667
