tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCIOT931041,7,055130,36,36,36,0,102324,49083,1421.166666666667
SCACT411501,6,052710,6,6,6,0,29578,29401,2464.833333333333
SCPDI343041,8,050350,12,12,12,0,103673,65113,4319.708333333333
BRMAS20209U,7,051210,3,3,3,0,4063,1609,677.1666666666666
SCACT421712,8,055650,6,6,6,0,677,531,56.41666666666666
SCRAP400600,8,053710,16,15,15,1,8201,3852,264.5483870967742
SCRAP300530,6,052030,18,18,18,0,3230,936,89.72222222222223
SPPFMHT001S,6,050830,10,10,10,0,782,277,39.1
SCSOS620141,7,054910,6,6,6,0,7362,7154,613.5
SCSBIG40081,8,055910,12,12,12,0,94390,57902,3932.916666666667
SCRAP101700,7,055040,58,58,58,0,222350,64220,1916.810344827586
SCRAP101700,8,054300,109,108,109,1,320339,34649,1483.908256880734
SCACT410141,7,055150,6,6,6,0,24101,23932,2008.416666666667
SCRAP200530,7,051140,12,12,12,0,2457,1047,102.375
SCIOT931001,7,050410,11,10,11,1,318864,278127,14884.36363636364
SCACT440421,7,052600,7,6,7,1,35140,34990,3122.428571428572
SCSOS620181,7,051220,36,36,36,0,429414,154042,5964.083333333333
BPPFMCCEXEC,6,053450,14,7,7,7,28379,5432,1351.380952380952
SCSOS620181,7,050850,6,6,6,0,50724,50550,4227.0
SCRAP501000,6,052030,18,18,18,0,3742,1279,103.9444444444444
SCBCN159010,6,055830,7,6,7,1,1782,1617,213.0714285714286
SCACT444561,7,051400,6,5,6,1,177,60,420.5
SCBCN121110,8,054740,12,12,12,0,33224,18708,1384.333333333333
SCSOS630531,7,052510,10,9,9,1,84902,84550,4468.526315789473
SUCRM700037,8,055900,6,6,6,0,120601,120459,10050.08333333333
SCCBS245161,7,053940,18,18,18,0,22594,16234,627.6111111111111
SCBCN121010,7,054630,12,12,12,0,30584,16312,1274.333333333333
SCACT421712,7,050010,6,6,6,0,861,691,71.75
SCSOS643471,7,051210,6,6,6,0,47974,47780,3997.833333333333
SCRAP207530,7,052610,18,18,18,0,4644,2031,129.0
SCBCN121050,7,055150,12,12,12,0,41099,29180,1712.458333333333
SPPFMHT001S,6,055000,250,250,250,0,19994,1226,39.988
SCPDI343041,7,050410,6,6,6,0,27932,27771,2327.666666666667
SPPFMDFEXEC,7,051140,542,542,542,0,62353,11519,57.52121771217712
SCSOS620181,7,055950,60,60,60,0,340188,45411,2834.9
SCSOS612081,6,055830,6,6,6,0,208055,207862,17337.91666666667
SCIOT930581,7,052510,12,10,12,2,211876,126515,9811.666666666666
