aggr_date,aggr_started,aggr_interval,tr_cd,user_no,trx_no,active_no,through_no,runtime_sum,runtime_mean,runtime_max
20190411,154350,10,BCLON100176,216,0,0,0,0,0.0,0
20190411,154350,10,BCLON100179,216,0,0,0,0,0.0,0
20190411,154350,10,BCLON100190,216,0,0,0,0,0.0,0
20190411,154350,10,BCLON110010,216,0,0,0,0,0.0,0
20190411,154350,10,BCLON110020,216,0,0,0,0,0.0,0
20190411,154350,10,BCMEBC0002C,216,0,0,0,0,0.0,0
20190411,154350,10,BCMEBC0003C,216,0,0,0,0,0.0,0
20190411,154350,10,BCMEBC0004C,216,0,0,0,0,0.0,0
20190411,154350,10,BCMNYBIZOUM,216,0,0,0,0,0.0,0
20190411,154350,10,BCOPR010011,216,0,0,0,0,0.0,0
20190411,154350,10,BCOPR010041,216,0,0,0,0,0.0,0
20190411,154350,10,BCOPR010131,216,0,0,0,0,0.0,0
20190411,154350,10,BCOPR010141,216,0,0,0,0,0.0,0
20190411,154350,10,BCOPR010201,216,0,0,0,0,0.0,0
20190411,154350,10,BCPDI301761,216,0,0,0,0,0.0,0
20190411,154350,10,BCPNS911003,216,0,0,0,0,0.0,0
20190411,154350,10,BCPNS911004,216,0,0,0,0,0.0,0
