global_id,tr_cd_first,tr_cd_count,tr_cd_distinct_count,result_flag_first,result_flag_last,result_flag_count_s,result_flag_count_not_s,event_time_min,event_time_max,global_id_exe_time
pcomap1 00213270551990,SCSOS301045,4,1,S,F,2,2,1528039292754609,1528039292758586,3977
pcomap1 00213279077580,SCSOS301045,4,1,S,F,2,2,1528039292756514,1528039292759923,3409
pcomap1 00213255752825,SCSOS301045,4,1,S,F,2,2,1528039292756517,1528039292764599,8082
pcomap1 00213269896195,SCSOS301045,4,1,S,F,2,2,1528039292760164,1528039292763558,3394
pcomap1 00213256406206,SCSOS301045,4,1,S,F,2,2,1528039292760197,1528039292763169,2972
pcomap1 00213277766010,SCSOS301045,4,1,S,F,2,2,1528039292760231,1528039292765352,5121
pcomap1 00213272131896,SCSOS301045,4,1,S,F,2,2,1528039292760233,1528039292763625,3392
pcomap1 00213258374448,SCSOS301045,4,1,S,F,2,2,1528039292760291,1528039292763698,3407
pcomap1 00213270551991,SCSOS301045,4,1,S,F,2,2,1528039292762048,1528039292764692,2644
pcomap1 00213279077581,SCSOS301045,4,1,S,F,2,2,1528039292763778,1528039292767381,3603
pcomap1 00213256406207,SCSOS301045,4,1,S,F,2,2,1528039292765610,1528039292768373,2763
pcomap1 00213278421203,SCSOS301045,10,1,S,F,5,5,1528039292765613,1528039293009478,243865
pcomap1 00213270551992,SCSOS301045,4,1,S,F,2,2,1528039292767500,1528039292783515,16015
pcomap1 00213272131897,SCSOS301045,4,1,S,F,2,2,1528039292767503,1528039292771688,4185
pcomap1 00213255752826,SCSOS301045,4,1,S,F,2,2,1528039292767564,1528039292771182,3618
pcomap1 00213258374449,SCSOS301045,4,1,S,F,2,2,1528039292767565,1528039292770482,2917
pcomap1 00213269896196,SCSOS301045,4,1,S,F,2,2,1528039292767571,1528039292778753,11182
pcomap1 00213279077582,SCSOS301045,6,1,S,F,3,3,1528039292771507,1528039292823333,51826
pcomap1 00213256406208,SCSOS301045,4,1,S,F,2,2,1528039292771566,1528039292776395,4829
pcomap1 00213258374450,SCSOS301045,4,1,S,F,2,2,1528039292773559,1528039292776909,3350
pcomap1 00213272131898,SCSOS301045,4,1,S,F,2,2,1528039292775546,1528039292780182,4636
pcomap1 00213255752827,SCSOS301045,4,1,S,F,2,2,1528039292775556,1528039292778894,3338
pcomap1 00213256406209,SCSOS301045,4,1,S,F,2,2,1528039292779371,1528039292789319,9948
pcomap1 00213269896197,SCSOS301045,4,1,S,F,2,2,1528039292783168,1528039292786030,2862
pcomap1 00213272131899,SCSOS301045,4,1,S,F,2,2,1528039292783189,1528039292785940,2751
pcomap1 00213255752828,SCSOS301045,4,1,S,F,2,2,1528039292783203,1528039292786586,3383
pcomap1 00213277766011,SCSOS301045,4,1,S,F,2,2,1528039292784596,1528039292794594,9998
pcomap1 00213270551993,SCSOS301045,4,1,S,F,2,2,1528039292787854,1528039292791333,3479
pcomap1 00213269896198,SCSOS301045,4,1,S,F,2,2,1528039292789774,1528039292792433,2659
pcomap1 00213255752829,SCSOS301045,4,1,S,F,2,2,1528039292789776,1528039292792779,3003
pcomap1 00213272131900,SCSOS301045,4,1,S,F,2,2,1528039292789819,1528039292794828,5009
pcomap1 00213256406210,SCSOS301045,4,1,S,F,2,2,1528039292793489,1528039292797434,3945
pcomap1 00213269896199,SCSOS301045,4,1,S,F,2,2,1528039292795355,1528039292799029,3674
pcomap1 00213255752830,SCSOS301045,4,1,S,F,2,2,1528039292795376,1528039292799090,3714
pcomap1 00213270551994,SCSOS301045,4,1,S,F,2,2,1528039292795377,1528039292798470,3093
pcomap1 00213277766012,SCSOS301045,4,1,S,F,2,2,1528039292797373,1528039292804994,7621
pcomap1 00213258374451,SCSOS301045,4,1,S,F,2,2,1528039292799195,1528039292804871,5676
WARN: The method class org.apache.commons.logging.impl.SLF4JLogFactory#release() was invoked.
WARN: Please see http://www.slf4j.org/codes.html#release for an explanation.
2020. 2. 28 오후 5:12:22 경고: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
2020. 2. 28 오후 5:12:22 정보: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 4960100 records.
