tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SUCRM700047,57,072130,36,36,36,0,13027,2308,180.9305555555555
SMCPLY31133,159,074520,6,5,6,1,136,56,546.3333333333334
SCCBS210341,122,073210,396,391,396,5,538382,184379,681.6464646464647
SCCBS241013,28,070240,62,59,62,3,101403,20964,1158.145161290323
SCIAO510291,142,074730,18,18,18,0,141922,65813,3942.277777777778
SUCRM200107,95,072730,12,12,12,0,446337,240033,18597.375
SCPSI73152A,119,075910,6,6,6,0,25802,25668,2150.166666666667
SMCPLY30141,159,074520,18,18,18,0,1132101,699057,31447.25
SUCRM800001,86,072650,6,6,6,0,11260,11113,938.3333333333334
SMCRM100031,122,073210,2,3,3,0,8351301,8350764,1670260.2
SUIBS000493,50,071430,10,10,10,0,3185,1742,159.25
SCFOS670061,123,073350,6,6,6,0,4589,4383,382.4166666666667
SMCRM100014,146,073530,18,18,18,0,219905,102858,6108.472222222223
SUCRM100034,126,075140,20,20,20,0,1270002,329988,31750.05
SUCRM100041,123,075420,4,3,3,1,205,127,29.28571428571428
SMCPLY40061,158,073650,12,12,12,0,182857,174525,7619.041666666667
STTBCT10001,32,070720,60,60,60,0,219913,35697,1832.608333333333
SCBCN581040,100,075950,6,6,6,0,14178,14049,1181.5
SMCRM100013,156,074810,24,24,24,0,42911,12936,893.9791666666666
SUCRM101003,23,070150,50,50,50,0,154523,27993,1545.23
SCCBS245161,156,074810,332,332,332,0,996250,52179,1500.376506024096
SUCRM101002,119,073230,15,15,15,0,7671,2681,255.7
SUCUS00045U,110,072930,6,5,6,1,135,66,567.75
SCCBS270511,71,072010,30,30,30,0,1979363,852465,32989.38333333333
SMAERA22190,101,072920,24,24,24,0,43385,30098,903.8541666666666
SVTBBT7053A,126,075140,12,12,12,0,59800,30490,2491.666666666667
STTBCT0004A,135,074130,53,53,53,0,7040,1297,66.41509433962264
SMFACR1213A,134,074650,18,16,18,2,242006,241498,9371.722222222223
SPTWMQ60165,160,073550,18,18,18,0,26247,17823,729.0833333333334
SCRAP207530,103,075930,18,18,18,0,3032,831,84.22222222222223
SCRAP300530,30,070450,12,12,12,0,1810,739,75.41666666666667
SMCPLY40581,158,073650,6,6,6,0,112673,111781,9389.416666666666
SUCRM101019,126,075220,6,6,6,0,16619,16423,1384.916666666667
SCSOS644131,134,074650,166,165,166,1,84491,22048,257.578313253012
SCPSI72152A,99,072810,6,6,6,0,50386,50244,4198.833333333333
SCACT445531,28,070520,9,9,9,0,54916,29193,3050.888888888889
SPPFMCCEXEC,130,075130,76,75,75,1,6332,2565,41.93377483443709
STTBOT4102D,159,074520,6,6,6,0,16851,16604,1404.25
SVTBBT7053A,119,075230,12,12,12,0,53993,29034,2249.708333333333
SCSOS621071,135,074130,12,12,12,0,9514,4731,396.4166666666667
SCSOS208003,156,074550,30,30,30,0,36509,13437,608.4833333333333
SMAERP14200,146,073530,66,66,66,0,89852,26112,680.6969696969697
SCCBS275002,95,072730,42,42,42,0,5460,610,65.0
SUCRM500024,55,072000,325,325,325,0,1412310,45382,2172.784615384615
SMCRM100005,50,071430,551,549,549,2,5091553,175062,4628.684545454546
SCLON822161,154,074150,12,12,12,0,201210,196740,8383.75
SMSLS00208A,156,074810,6,6,6,0,172662,172521,14388.5
SUCRM300125,118,073330,102,102,102,0,560660,46973,2748.333333333333
SPRTPQ2701B,136,074850,6,5,5,1,1270590,1270395,115508.1818181818
SCBCN159020,123,073350,24,24,24,0,9380,2350,195.4166666666667
SMCRM400001,146,073530,16,15,15,1,475232,451686,15330.06451612903
SUCRM100036,99,073050,19,18,18,1,1375231,504801,37168.40540540541
SCACT443221,115,075630,12,12,12,0,16338,8794,680.75
SUCRM300182,136,074850,6,6,6,0,141343,141227,11778.58333333333
SUCRM300300,115,073250,6,6,6,0,560340,560155,46695.0
SCCBS270501,118,073100,36,36,36,0,2071224,826975,28767.0
SCIOT930531,122,075710,11,6,11,5,96357,96146,6059.045454545455
SUCRM300182,126,075220,6,6,6,0,128313,128186,10692.75
SCBCN159020,104,073020,12,12,12,0,7190,4075,299.5833333333333
SCSOS613141,119,075910,18,18,18,0,11103,3547,308.4166666666667
SCCBS255913,40,071150,480,480,480,0,1543194,29162,1607.49375
STTBOT4P04B,116,075530,54,54,54,0,641067,93086,5935.805555555556
SUCRM700001,152,073920,125,125,125,0,557212,40306,2228.848
SCACT441511,160,073720,38,38,38,0,58404,20255,768.4736842105264
SUCRM300058,136,074850,5,5,5,0,79652,79521,7965.2
SPRWMD7001H,159,074720,6,6,6,0,4872,4720,406.0
STTBOT4102A,119,075910,6,6,6,0,48738,48590,4061.5
SUCRM700023,100,075950,2,3,3,0,10718718,10718440,2143743.6
SCPDI34P041,156,074550,12,12,12,0,1541,727,64.20833333333333
STTBOT4P61A,136,074850,12,12,12,0,597115,340715,24879.79166666667
SMCPLY30471,99,075940,30,30,30,0,169049,41113,2817.483333333333
SCIAO570261,154,074150,16,16,16,0,97029,80231,3032.15625
SCFOS675021,119,073450,6,6,6,0,78837,78682,6569.75
SCACT490271,119,073230,12,12,12,0,6906,3398,287.75
SCSOS621031,49,071410,6,6,6,0,64369,64182,5364.083333333333
SCIOT980691,100,072830,379,370,378,9,11479627,1277433,15295.78599735799
SUCRM300009,75,072600,10,10,10,0,1516927,1499787,75846.35
SCBCN583011,116,075530,18,18,18,0,34628,12331,961.8888888888889
SMSLS00250A,40,071150,6,6,6,0,105124,104809,8760.333333333334
SUCRM206001,160,073720,6,6,6,0,232298,230882,19358.16666666667
SCACT420591,159,074720,6,6,6,0,43848,43619,3654.0
SCACT445532,28,070520,146,146,146,0,108239,12432,370.681506849315
SCIOT980791,95,072730,6,6,6,0,562,359,46.83333333333334
SCACT490271,94,072540,6,6,6,0,3380,3166,281.6666666666667
SUCUS00035S,81,072520,8,8,8,0,15954,14905,997.125
SCBCN159010,119,073450,49,46,49,3,26737,13044,337.4081632653061
SCSOS208001,118,073330,34,33,33,1,102509,28317,1529.985074626866
SCBCN221010,50,071510,12,12,12,0,55434,29935,2309.75
SCACT420591,132,074450,12,12,12,0,225239,177328,9384.958333333334
SCCBS270311,94,072540,5,4,4,1,1191,1041,132.3333333333333
SCACT445532,30,070650,182,182,182,0,201117,28927,552.5192307692307
STTBCT10003,124,073440,54,54,54,0,125637,16267,1163.305555555556
SCBCN151010,119,075000,10,9,10,1,47600,43987,3416.8
SCSOS620151,153,073710,48,48,48,0,121664,38385,1267.333333333333
SUIBS200003,134,074310,10,10,10,0,1809678,930555,90483.9
SUCRM400046,101,072920,6,6,6,0,11738,11581,978.1666666666666
STTBOT4P05A,154,074420,6,6,6,0,1550,1395,129.1666666666667
SMCPLY30291,144,074900,6,6,6,0,7089,6934,590.75
SCACT442401,110,072930,146,124,146,22,98674,39169,1608.527397260274
SCSOS637041,71,072010,6,6,6,0,485856,485599,40488.0
