ticker,date,open,high,low,close,volume,adjclose,change
018250,2018-03-22,28000.0,35650.0,27600.0,34000.0,11151326,34000.0,6000.0
018250,2018-03-23,33000.0,36750.0,32850.0,35000.0,4173167,35000.0,1000.0
018250,2018-03-26,36500.0,37250.0,33100.0,33850.0,1707836,33850.0,1150.0
018250,2018-03-27,34100.0,34350.0,31500.0,31500.0,1212588,31500.0,2350.0
018250,2018-03-28,31600.0,32800.0,30000.0,32000.0,1234395,32000.0,500.0
018250,2018-03-29,32500.0,33500.0,31150.0,33350.0,747531,33350.0,1350.0
018250,2018-03-30,33550.0,34100.0,32750.0,33550.0,387979,33550.0,200.0
018250,2018-04-02,35150.0,38850.0,35100.0,38100.0,2311448,38100.0,4550.0
018250,2018-04-03,37500.0,42850.0,37150.0,41750.0,2506070,41750.0,3650.0
018250,2018-04-04,42350.0,43750.0,40250.0,42000.0,892227,42000.0,250.0
018250,2018-04-05,42600.0,45600.0,41300.0,44950.0,1008453,44950.0,2950.0
018250,2018-04-06,44900.0,47250.0,43800.0,44650.0,882131,44650.0,300.0
018250,2018-04-09,45000.0,46850.0,45000.0,46150.0,430506,46150.0,1500.0
018250,2018-04-10,46050.0,46100.0,42800.0,45650.0,521894,45650.0,500.0
018250,2018-04-11,46100.0,46400.0,44350.0,44400.0,319927,44400.0,1250.0
018250,2018-04-12,44200.0,45800.0,42650.0,43350.0,418019,43350.0,1050.0
018250,2018-04-13,43550.0,45000.0,42250.0,44350.0,410136,44350.0,1000.0
018250,2018-04-16,44600.0,46400.0,43500.0,46350.0,385761,46350.0,2000.0
018250,2018-04-17,46600.0,47850.0,46000.0,46350.0,451380,46350.0,0.0
018250,2018-04-18,46500.0,47100.0,45700.0,46250.0,250181,46250.0,100.0
018250,2018-04-19,46200.0,46800.0,45300.0,45600.0,282823,45600.0,650.0
018250,2018-04-20,45100.0,45200.0,43700.0,43850.0,339861,43850.0,1750.0
018250,2018-04-23,42850.0,44550.0,41950.0,43600.0,330383,43600.0,250.0
018250,2018-04-24,43200.0,45950.0,43200.0,45550.0,359592,45550.0,1950.0
018250,2018-04-25,45050.0,45550.0,43900.0,44350.0,200469,44350.0,1200.0
018250,2018-04-26,44400.0,45750.0,43800.0,44800.0,198889,44800.0,450.0
018250,2018-04-27,44500.0,45650.0,44500.0,44900.0,152577,44900.0,100.0
018250,2018-04-30,44800.0,45200.0,43700.0,45200.0,316680,45200.0,300.0
018250,2018-05-02,45100.0,45100.0,43900.0,44400.0,150181,44400.0,800.0
018250,2018-05-03,44500.0,45350.0,43650.0,44600.0,169363,44600.0,200.0
018250,2018-05-04,44800.0,49150.0,44600.0,46850.0,593272,46850.0,2250.0
018250,2018-05-08,47950.0,50700.0,47600.0,49400.0,667111,49400.0,2550.0
018250,2018-05-09,51500.0,53500.0,49900.0,50600.0,640503,50600.0,1200.0
