openapi_history_id,openapi_master_id,execute_time,total_count,s_count,f_count,created,load_dtm,execute_date
70,1,1619,1077,1077,0,2019-04-22 16:19:52,2019-06-27 19:24:13.932,20190422
71,1,1620,1077,1077,0,2019-04-22 16:20:35,2019-06-27 19:24:13.933,20190422
72,1,1621,1077,1077,0,2019-04-22 16:21:37,2019-06-27 19:24:13.933,20190422
73,1,1622,1077,1077,0,2019-04-22 16:22:33,2019-06-27 19:24:13.934,20190422
74,1,1623,1077,1077,0,2019-04-22 16:23:39,2019-06-27 19:24:13.934,20190422
75,1,1715,1077,1077,0,2019-04-22 17:15:35,2019-06-27 19:24:13.935,20190422
76,1,2015,1077,1077,0,2019-04-22 20:15:28,2019-06-27 19:24:13.935,20190422
77,1,2315,1077,1077,0,2019-04-22 23:15:28,2019-06-27 19:24:13.935,20190422
78,1,0215,1077,1077,0,2019-04-23 02:15:30,2019-06-27 19:24:13.936,20190423
81,1,2015,1077,0,1077,2019-04-25 20:15:08,2019-06-27 19:24:13.937,20190425
82,1,2315,1077,0,1077,2019-04-25 23:15:10,2019-06-27 19:24:13.937,20190425
83,1,0215,1077,0,1077,2019-04-26 02:15:08,2019-06-27 19:24:13.938,20190426
84,1,0515,1077,0,1077,2019-04-26 05:15:08,2019-06-27 19:24:13.938,20190426
85,1,0815,1077,0,1077,2019-04-26 08:15:07,2019-06-27 19:24:13.938,20190426
101,1,0815,1077,1077,0,2019-04-29 08:15:46,2019-06-27 19:24:13.939,20190429
102,1,0925,1077,1077,0,2019-04-29 09:25:35,2019-06-27 19:24:13.939,20190429
103,1,0926,1077,1077,0,2019-04-29 09:26:29,2019-06-27 19:24:13.94,20190429
104,1,0927,1077,1077,0,2019-04-29 09:27:33,2019-06-27 19:24:13.94,20190429
105,1,0928,1077,1077,0,2019-04-29 09:28:30,2019-06-27 19:24:13.941,20190429
106,1,0929,1077,1077,0,2019-04-29 09:29:28,2019-06-27 19:24:13.941,20190429
107,1,0930,1077,1077,0,2019-04-29 09:30:29,2019-06-27 19:24:13.942,20190429
108,1,0931,1077,1077,0,2019-04-29 09:31:29,2019-06-27 19:24:13.942,20190429
109,1,0932,1077,1077,0,2019-04-29 09:32:28,2019-06-27 19:24:13.943,20190429
110,1,0933,1077,1077,0,2019-04-29 09:33:33,2019-06-27 19:24:13.943,20190429
111,1,0934,1077,1077,0,2019-04-29 09:34:27,2019-06-27 19:24:13.944,20190429
112,1,0935,1077,1077,0,2019-04-29 09:35:32,2019-06-27 19:24:13.944,20190429
113,1,0936,1077,1077,0,2019-04-29 09:36:26,2019-06-27 19:24:13.944,20190429
114,1,0937,1077,1077,0,2019-04-29 09:37:27,2019-06-27 19:24:13.945,20190429
115,1,0938,1077,1077,0,2019-04-29 09:38:27,2019-06-27 19:24:13.945,20190429
116,1,0939,1077,1077,0,2019-04-29 09:39:34,2019-06-27 19:24:13.946,20190429
117,1,0940,1077,1077,0,2019-04-29 09:41:11,2019-06-27 19:24:13.946,20190429
118,1,0942,1077,1077,0,2019-04-29 09:42:27,2019-06-27 19:24:13.946,20190429
119,1,0943,1077,1077,0,2019-04-29 09:43:28,2019-06-27 19:24:13.947,20190429
