tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
STCCOI1021B,9,230630,60,60,60,0,486185,55163,4051.541666666667
SCBCN121134,7,233500,18,18,18,0,53986,34859,1499.611111111111
STHITJ1006A,8,235350,6,6,6,0,16582,16252,1381.833333333333
SUCRM700105,9,232320,6,6,6,0,21743,21489,1811.916666666667
SCPSO755561,10,232750,6,6,6,0,21321,21161,1776.75
SCIOT980691,11,231650,462,441,462,21,5446039,518036,6088.655844155845
SCIOT931001,8,234210,148,130,148,18,4265136,606596,15042.05743243243
SUCRM307008,11,231220,2,4,4,0,2584681,1322162,430780.1666666667
SUCRM101003,7,233600,20,20,20,0,35233,15476,880.825
SCBCN581011,12,231950,6,6,6,0,15214,14879,1267.833333333333
SCACT490201,9,234030,6,5,6,1,135,53,108.4166666666667
SPRATD54021,9,235550,6,6,6,0,16935,16297,1411.25
SCIOT930591,11,233040,20,20,20,0,238963,107628,5974.075
SCSOS643471,8,235410,38,38,38,0,145207,95579,1910.618421052632
SCIOT980691,8,235350,226,218,228,8,2460021,480540,5588.330396475771
SCSOS631221,9,234510,18,18,18,0,527930,237064,14664.72222222222
SPRATD54021,11,230950,24,24,24,0,150410,56897,3133.541666666667
SPRTPQ40067,10,233320,6,5,6,1,169,81,350.5833333333333
SPPFMDFEXEC,9,234030,1294,1294,1294,0,1912464,111099,738.9737248840804
SCACT442401,10,230350,66,56,66,10,5630,4062,1104.840909090909
SPRTPQ40003,8,235800,6,6,6,0,21421,21197,1785.083333333333
SCRAP100500,8,232700,12,12,12,0,4598,2112,191.5833333333333
SCACT442401,8,231920,76,61,76,15,11077,9151,1147.572368421053
STHITCOM009,12,233550,6,6,6,0,7196,6785,599.6666666666666
SPPFMDFEXEC,6,235930,551,551,551,0,803126,49377,728.7894736842105
SCRITF25051,9,231740,12,12,12,0,13927,12475,580.2916666666666
SCIOT931041,10,231440,148,148,148,0,578355,134298,1953.902027027027
SCSOS620181,9,231810,108,107,108,1,957197,202097,4443.444444444444
SCPDI344461,7,233600,6,6,6,0,179704,179430,14975.33333333333
SCSOS620121,11,230750,12,12,12,0,13928,8177,580.3333333333334
SUCUSC0009S,10,235250,32,32,32,0,47084,21955,735.6875
SMCRM100052,10,234500,6,6,6,0,22022,21757,1835.166666666667
SCPSO755381,10,233320,33,33,33,0,99294,16593,1504.454545454545
SCACT440421,11,233530,6,6,6,0,64608,64478,5384.0
SCACT421712,9,235550,6,6,6,0,737,593,61.41666666666666
SPRWMD7001H,7,233600,6,6,6,0,4706,4563,392.1666666666667
SCSOS643471,11,234750,18,18,18,0,7503,2634,208.4166666666667
SCRAP100500,9,233730,18,18,18,0,7151,2217,198.6388888888889
SCPDI344011,10,233840,2,2,2,0,176481,176419,44120.25
SCSOS631221,7,235650,6,6,6,0,149733,149580,12477.75
SCPSO755571,11,233530,18,16,18,2,6337,3031,1183.305555555556
SCSOS631221,16,231350,18,18,18,0,659662,357292,18323.94444444445
SCFOS687441,10,231200,24,24,24,0,149232,38928,3109.0
SCCBS270044,9,234910,6,6,6,0,6530,6307,544.1666666666666
SCIOT930141,8,233200,24,18,24,6,314982,145219,7325.8125
SCIOT930561,8,232700,8,6,8,2,664689,664469,42455.4375
SCRAP207530,10,232120,12,12,12,0,1990,858,82.91666666666667
SCACT410321,8,234210,183,183,183,0,263953,34095,721.1830601092896
SUCUSC0009S,8,231920,70,70,70,0,155620,49148,1111.571428571429
SUCRM700049,10,233910,8,9,9,0,3215148,3061162,189126.3529411765
SCSOS620121,7,235650,18,18,18,0,16561,7907,460.0277777777778
SPRATD54021,7,235210,12,12,12,0,58485,35857,2436.875
