tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCACT421451,185,134710,30,30,30,0,24146,12675,402.4333333333333
STTBET1920A,131,130500,1144,1143,1143,1,1870339,34917,817.8132925229559
SUCRM101015,164,132400,12,12,12,0,3418,1508,142.4166666666667
SUCRM300006,168,134750,5,5,5,0,696999,696411,69699.9
SCIOT980801,176,134320,27,30,30,0,3091054,2878503,54229.01754385965
SCIOT930591,207,132820,290,290,290,0,4540108,257836,7827.772413793104
SMCRM100004,132,130220,12,12,12,0,2727008,1605873,113625.3333333333
SUCRM500024,176,134300,370,370,370,0,2246482,51976,3035.786486486486
SCPSB752551,185,134710,6,6,6,0,318129,317933,26510.75
SCPDI348031,194,132900,36,36,36,0,9074,1424,126.0277777777778
SPPBSK93002,143,130100,78,78,78,0,137149,12759,879.1602564102565
SCACT421712,174,131800,6,6,6,0,923,717,76.91666666666667
SCCBS266101,204,133940,12,12,12,0,13128,6858,547.0
SCSOS610031,200,133840,700,690,700,10,2406655,163936,1827.730714285714
SCACT421712,143,130100,6,6,6,0,797,619,66.41666666666667
SCPDI300111,189,135640,6,6,6,0,7563,7410,630.25
SUCRM100023,174,131800,40,40,40,0,1436412,245059,17955.15
SCSOS610091,177,132700,226,226,226,0,568706,41194,1258.199115044248
SUCRM101009,198,133930,20,20,20,0,9732,2400,243.3
SCSOS610941,175,133610,28,24,28,4,69622,20776,1826.625
SPPBSK93002,174,131800,60,60,60,0,119843,20657,998.6916666666667
SCPDI348031,177,133000,42,42,42,0,14058,2157,167.3571428571429
SUCRM101008,179,135650,40,40,40,0,289829,112059,3622.8625
SUCRM100006,176,134320,5,5,5,0,98269,97434,9826.9
SCIOT980691,179,135230,8561,8366,8561,195,106132328,2068042,6324.088073823152
SCACT421311,185,134710,18,18,18,0,8169,3446,226.9166666666667
SRRMSW28616,172,132230,6,6,6,0,36069,35936,3005.75
SUCRM100096,148,130910,10,10,10,0,282883,158253,14144.15
STTBOT4607B,157,130630,6,6,6,0,9770,9611,814.1666666666666
BpCa211,183,131750,2,2,2,0,1454,997,363.5
SMCPLY23021,185,134710,6,6,6,0,315522,315349,26293.5
SCPSI72122A,197,134140,6,6,6,0,9280,9121,773.3333333333334
STTBCT0455B,152,130150,18,18,18,0,143259,73909,3979.416666666667
SCIAO560261,127,131520,173,171,171,2,7735360,216149,22486.51162790698
SCSOS631191,168,134750,380,380,381,0,4926213,951762,6481.352168199737
SCCBS270311,163,135240,35,28,28,7,6708,1190,106.4761904761905
SCACT450272,164,131400,24,24,24,0,289006,99387,6020.958333333333
SCBCN159020,150,131620,42,42,42,0,20034,3148,238.5
SUCRM400026,148,130910,9,8,8,1,171023,170756,10060.17647058824
SCSOS610101,203,133040,84,84,84,0,407279,27174,2424.279761904762
SCCBS215051,201,135010,78,78,78,0,11236,867,72.02564102564102
SCBCN151010,177,132700,10,9,10,1,57401,54178,4048.85
SUCRM100001,177,132700,55,55,55,0,744342,439260,6766.745454545455
SCACT490271,180,135130,84,84,84,0,199253,53090,1186.029761904762
SCIAO520371,185,134240,6,6,6,0,6295,6160,524.5833333333334
SPPFMONDBAT,162,130410,11,11,11,0,9666923,952267,439405.5909090909
STTBOT4124D,207,132820,12,12,12,0,10608,5142,442.0
SCACT400611,185,133050,30,30,30,0,20652,4719,344.2
SCIOT950582,176,133520,7,7,7,0,83103,70610,5935.928571428572
SCCBS255911,198,135530,6,6,6,0,14161,13853,1180.083333333333
SCIOT950551,187,132730,12,12,12,0,18214,8838,758.9166666666666
SCCBS275001,192,134930,36,36,36,0,5666,743,78.69444444444444
SUIBS000581,211,135930,7,7,7,0,296940,294088,21210.0
SUCRM300105,162,135220,15,15,15,0,51307,41655,1710.233333333333
SCMNYS2390A,162,135220,8,8,8,0,29467,24805,1841.6875
SCACT440861,176,133520,6,6,6,0,99692,99252,8307.666666666666
SUCUSPC0063,176,133520,24,24,24,0,33522,13904,698.375
SPPFMDFEXEC,182,135210,6724,6724,6724,0,2812457,26399,209.1357079119572
SUCRM700093,193,133400,540,540,540,0,1518975,47448,1406.458333333333
STTBNT3301A,157,131320,6,6,6,0,77840,77586,6486.666666666667
SUCRM101002,180,135130,145,145,145,0,75680,13536,260.9655172413793
SCACT450401,143,130800,30,27,30,3,26752,13711,1010.566666666667
SUCRM101019,207,132820,6,6,6,0,20071,19849,1672.583333333333
SCACT411131,188,133220,12,12,12,0,14215,7120,592.2916666666666
SCACT447511,176,134300,2,2,2,0,137356,137272,34339.0
SCFOS670061,150,131620,6,6,6,0,3718,3562,309.8333333333333
SCSOS630531,185,133430,108,107,108,1,243985,23942,1136.018518518518
SUCRM100135,158,130320,42,42,42,0,23941,3808,285.0119047619048
SUCRM101019,203,133120,12,12,12,0,48491,24769,2020.458333333333
SCACT490091,162,130410,9,9,9,0,768420,400587,42690.0
SCACT441631,164,131400,6,5,6,1,143,63,166.0833333333333
STTBCU0853B,192,133350,12,12,12,0,4821343,4501314,200889.2916666667
SCPSI73338A,189,135540,6,6,6,0,11186,11026,932.1666666666666
SCACT490351,199,135120,12,10,12,2,488,80,314.6666666666667
SCACT420261,164,132400,66,63,66,3,685611,145861,5445.962121212121
SCIOT930581,198,133930,266,260,266,6,7357258,341598,13954.70676691729
SCSOS621071,200,133840,102,102,102,0,83254,6244,408.1078431372549
SMAERP14610,176,131640,9,10,10,0,2962542,2959966,155923.2631578947
SCCBS241013,187,132730,76,75,76,1,145536,30957,1029.828947368421
SMAERP13110,191,133800,6,6,6,0,1921230,1920627,160102.5
SUCRM101002,193,134530,140,140,140,0,86016,12362,307.2
SCACT490091,148,130910,7,7,7,0,125658,76529,8975.57142857143
SCACT490301,191,134410,6,6,6,0,795,665,66.25
SUCRM100149,168,134750,12,12,12,0,82441,52024,3435.041666666667
SUCRM300016,185,134240,40,40,40,0,962313,353647,12028.9125
SCACT420261,177,133000,30,30,30,0,691486,328099,11524.76666666667
SCFOS671521,175,132350,156,156,156,0,280010,32062,897.4679487179487
STTBET1920D,163,135240,294,294,294,0,530074,31650,901.4863945578231
SCSOS630531,198,133930,160,159,159,1,886902,297512,2780.257053291536
MUCUS001203,198,135530,2,2,2,0,0,0,0.0
SCACT450262,162,131110,24,24,24,0,54201,35100,1129.1875
SCIOT930811,158,132210,6,6,6,0,705,394,58.75
SCACT440861,174,133820,6,6,6,0,237054,236797,19754.5
SCACT441371,146,130640,6,5,6,1,215,107,1064.166666666667
SCACT490301,160,131810,6,6,6,0,1622,1420,135.1666666666667
SMAERA22190,157,131850,8,8,8,0,7341,4494,458.8125
SCIOT930331,198,133230,112,111,111,1,4304344,731664,19301.99103139013
SCIOT930031,193,133500,6,6,6,0,30133,29796,2511.083333333333
SCPSO756551,187,133830,6,6,6,0,42653,42394,3554.416666666667
SUCRM700011,180,134540,15,15,15,0,412252,203056,13741.73333333333
