tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCRITF30021,66,180600,6,6,6,0,89843,89704,7486.916666666667
SUCRM100146,28,183410,12,12,12,0,5495,2884,228.9583333333333
SUCUS00096S,27,183400,7,7,7,0,1945,781,138.9285714285714
SPRTPQ22593,32,184600,48,48,48,0,42657,9379,444.34375
SCSOS620141,28,183410,60,60,60,0,108950,12695,907.9166666666666
SCRAP100500,22,185030,12,12,12,0,1844,2409,76.83333333333333
SCCBS210341,27,183400,30,30,30,0,8794,3749,146.5666666666667
SUIBS000527,29,183250,20,20,20,0,185882,102216,4647.05
SCBCN121011,85,180210,48,48,48,0,96132,15646,1001.375
SCBCN221060,37,184250,108,108,108,0,893768,143367,4137.814814814815
SCBCN581011,42,182810,34,30,33,4,1110957,943982,16885.14925373134
SCCBS210141,32,183240,20,21,21,0,1190508,413297,29036.78048780488
SUCRM700047,49,182450,18,18,18,0,6286,2014,174.6111111111111
SUCUSPC0063,22,185030,8,8,8,0,6880,5042,430.0
SCPDI344461,24,185100,6,6,6,0,198387,198085,16532.25
SCACT445901,25,185450,9,9,9,0,69935,40060,3885.277777777778
SUCUSC02311,36,183210,7,7,7,0,1964871,1964721,140347.9285714286
STTBCT10001,35,184740,6,6,6,0,18581,18428,1548.416666666667
SUCRM300016,33,182920,0,1,1,0,2826,2826,2826.0
SCCBS241013,27,185850,8,7,8,1,8364,7972,1178.625
SCRAP100500,61,181640,18,18,18,0,6311,1940,175.3055555555555
SCBCN221050,18,184850,24,24,24,0,113310,31514,2360.625
SCBCN221060,61,180750,162,162,162,0,1359214,155134,4195.104938271605
SCIAO510291,61,180750,34,24,34,10,250627,111679,4748.132352941177
SCIOT980441,27,183400,8,8,8,0,54785,53213,3424.0625
SCRAP300530,90,180240,18,18,18,0,3265,1025,90.69444444444444
SVTBBT7904A,24,184700,906,906,906,0,751842,25854,414.9238410596026
SCACT440101,80,181000,6,6,6,0,399499,399364,33291.58333333334
SUCRM300083,61,182050,5,5,5,0,1817,1635,181.7
STTBXKMBRCV,30,184100,12,12,12,0,19786,12328,824.4166666666666
SCIOT930021,80,181000,146,119,145,27,2211793,235017,8460.498281786942
SUIBS000316,49,181910,5,5,5,0,2718142,2717406,271814.2
SPRTPQ2701B,22,185430,4,3,3,1,123,76,17.57142857142857
SCIOT931041,48,182500,406,406,406,0,1391569,115328,1713.754926108374
STTBET1746A,80,181000,12,12,12,0,47029,35186,1959.541666666667
SCRAP501000,41,181830,18,18,18,0,3066,797,85.16666666666667
SUIBS000305,19,185900,10,10,10,0,191288,97251,9564.4
SUCRM101009,21,184650,5,5,5,0,2479,2280,247.9
SCPSO756621,22,185430,6,6,6,0,135093,134917,11257.75
SCIOT930591,22,185430,40,40,40,0,614470,145817,7680.875
STTBBT2008A,49,182450,12,12,12,0,42672,34869,1778.0
SCACT420241,66,180600,6,5,6,1,132,59,193.9166666666667
SUCRM300042,81,180430,5,5,5,0,1038343,1038040,103834.3
SCACT450272,28,183410,6,6,6,0,6250,6086,520.8333333333334
SCRAP200530,40,183330,12,12,12,0,1967,854,81.95833333333333
SCIOT930181,25,185230,12,12,12,0,1115577,685904,46482.375
SCIOT980691,31,183720,443,421,443,22,7097578,1044772,8186.317155756207
SUCRM100091,61,181120,10,10,10,0,98284,92449,4914.2
SCBCN221020,24,185100,90,90,90,0,1530112,142291,8500.622222222222
STTBFT5951A,26,184800,36,36,36,0,3331,553,46.26388888888889
SCPDI348031,63,180910,6,6,6,0,1490,1333,124.1666666666667
SCIOT930141,86,180030,10,6,10,4,85145,84925,5870.4
SCPSB764051,23,185220,2,3,3,0,46541,46500,9308.2
SCSCAE43022,23,185530,6,6,6,0,1317354,1317063,109779.5
SCFOS687401,37,183920,8,8,8,0,129192,90132,8074.5
SMFACR4620A,20,185110,6,6,6,0,244579,244367,20381.58333333333
SCBCN100200,24,184700,18,18,18,0,3494,1121,97.05555555555556
SCSOS631191,44,182240,60,60,60,0,753145,264517,6276.208333333333
SPRWMD7001H,23,185530,6,6,6,0,4794,4632,399.5
SCCBS210351,42,182810,30,30,30,0,5657,1012,94.28333333333333
SCACT445532,82,180330,424,424,424,0,229679,10154,270.8478773584906
SMSLS00238A,90,180240,4,3,3,1,125,76,17.85714285714286
SUCUSC0009S,36,183210,143,142,143,1,538362,52064,1904.199300699301
SCACT420591,34,184130,6,6,6,0,10695,10508,891.25
STTBXKMBRCV,80,181000,12,12,12,0,23103,14093,962.625
SUCRM101009,64,181420,20,20,20,0,9260,2379,231.5
SCSOS630291,22,185030,54,54,54,0,306434,42066,2837.351851851852
SUCRM101015,63,180910,12,12,12,0,3225,1516,134.375
STTBCT10002,35,184740,6,6,6,0,1704,1581,142.0
SCIAO552211,35,182840,6,6,6,0,49980,49848,4165.0
SCRAP501000,22,185030,18,18,18,0,2957,782,82.13888888888889
SCSOS644111,21,185650,6,6,6,0,2209,1962,184.0833333333333
SCACT447591,37,183640,19,18,19,1,57300,53173,2711.026315789474
BBL001FDS01,16,185700,4,4,4,0,0,0,0.0
SCRAP400600,25,185450,18,18,18,0,11973,3768,332.5833333333333
SCACT441511,44,182640,56,56,56,0,32526,8116,290.4107142857143
SMCRM100019,85,180210,12,12,12,0,43383,26261,1807.625
SCBCN580030,34,183020,12,12,12,0,23766,17502,990.25
STHITJ1006A,36,183950,6,6,6,0,9031,8633,752.5833333333334
STTBCT00005,20,185110,126,126,126,0,50831,12323,201.7103174603175
SUIBS000430,50,181710,5,5,5,0,7869,7736,786.9
SCBCN580030,31,183350,6,6,6,0,294910,294649,24575.83333333333
SCACT445532,34,184540,378,378,378,0,157235,9219,207.9828042328042
STTBCT10002,90,180240,12,12,12,0,3097,1559,129.0416666666667
STTBCT10002,41,181830,12,12,12,0,3084,1741,128.5
SCACT442401,32,183620,146,121,146,25,56075,28149,1280.513698630137
SUCUSPC0063,41,181830,8,8,8,0,10466,8238,654.125
SUCRM700093,49,181910,90,90,90,0,165947,22262,921.9277777777778
SCSOS301051,32,184600,30,30,30,0,9446408,1072754,157440.1333333333
SCRAP207530,18,184850,12,12,12,0,1819,726,75.79166666666667
