tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCACT443221,251,091430,6,6,6,0,3519,3347,293.25
SUCRM100014,245,091150,5,5,5,0,187506,186199,18750.6
SCACT445552,187,095810,13,13,13,0,251146,220056,9659.461538461539
SCPSI73352A,257,092650,6,6,6,0,1681,1491,140.0833333333333
SCCBS220441,245,091150,30,30,30,0,53899,16068,898.3166666666667
SCSOS630301,258,091410,12,12,12,0,198940,106396,8289.166666666666
SPPBSK93002,225,093900,78,78,78,0,169516,20509,1086.641025641026
SCACT420591,188,095750,30,30,30,0,1531830,943239,25530.5
SCSOS631191,250,092350,488,486,488,2,5527777,717778,5679.084016393443
SCIOT930561,264,091750,8,9,9,0,1813446,1430651,106673.2941176471
SCACT471351,213,094030,42,42,42,0,1594709,362189,18984.63095238095
SUCRM300390,267,093910,6,6,6,0,73903,73386,6158.583333333333
SCIOT970201,204,095130,6,6,6,0,34831,34467,2902.583333333333
SCPDI34P041,222,094250,12,12,12,0,2609,1523,108.7083333333333
SCACT400341,266,090600,48,48,48,0,360280,65723,3752.916666666667
SCACT450191,236,092950,174,164,174,10,210102,17421,809.6063218390805
SCACT421712,225,093900,6,6,6,0,1281,1095,106.75
SCIOT930021,218,095410,911,786,914,125,29777363,3512831,17385.44876712329
SUCRM100108,258,091410,10,10,10,0,230066,125282,11503.3
SCACT447591,234,092020,48,48,48,0,25466,2537,265.2708333333333
SCPST770021,205,095340,12,12,12,0,31052,17045,1293.833333333333
SCIAO550161,235,094100,6,6,6,0,17383,17173,1448.583333333333
SCACT450301,234,092020,48,48,48,0,246400,65115,2566.666666666667
SCIOT930021,255,090810,1135,966,1131,169,37410389,1535919,17604.21712268314
SPRTPQ2702B,299,090320,2,3,3,0,6024351,6024303,1204870.2
SCBCN159020,233,093720,30,30,30,0,19249,4682,320.8166666666667
SUCRM101008,265,093250,75,75,75,0,426303,112379,2842.02
SCBCN121014,251,090630,36,36,36,0,387213,258325,5377.958333333333
SUCRM500013,218,091650,55,55,55,0,42273,6681,384.3
SUCRM100096,262,093110,110,110,110,0,3644768,220582,16567.12727272727
STTBCT10002,264,091750,12,12,12,0,4605,3194,191.875
SCIOT980401,271,092640,6,5,6,1,210,83,1191.75
SCBCN581013,214,094810,6,6,6,0,20948,20594,1745.666666666667
SCIOT920081,250,092350,26,24,26,2,786653,386487,15736.09615384615
SCIAO511011,211,092010,18,18,18,0,66475,24454,1846.527777777778
SUIBS000470,245,091150,5,5,5,0,403107,403003,40310.7
SUCRM101021,249,093950,4,3,3,1,103,63,14.71428571428571
SUCRM100092,253,090430,65,65,65,0,210060,33211,1615.846153846154
SUCRM200200,238,090620,6,6,6,0,1274254,1271801,106187.8333333333
SCIAO510291,245,090640,51,50,51,1,703989,132022,7029.039215686274
SCPDI344181,234,095010,18,18,18,0,1264073,436846,35113.13888888889
SCBCN121134,232,094320,18,18,18,0,111931,81024,3109.194444444444
SCPSI72343A,230,094730,6,6,6,0,1536624,1535319,128052.0
SCSOS610111,252,090050,72,72,72,0,862242,103123,5987.791666666667
SCSOS630021,261,091240,6,6,6,0,79767,79447,6647.25
BBL001FDS03,234,092300,1,1,1,0,0,0,0.0
SCSOS630531,227,095030,310,309,309,1,2009980,264438,3247.140549273021
SCCBS260231,283,090250,7,6,7,1,10228,9743,1044.214285714286
STTBOT4P03B,214,094810,6,6,6,0,471,354,39.25
SCRAP207530,230,094730,18,18,18,0,4552,1382,126.4444444444444
SCACT445011,218,091650,4,4,4,0,2631,834,328.875
SCPSI73338A,244,092840,6,6,6,0,13869,13626,1155.75
SUCRM300010,225,093900,30,30,30,0,37727,8513,628.7833333333333
SCSOS621181,245,090640,6,6,6,0,15359,15043,1279.916666666667
SUCRM700011,224,093540,31,32,32,0,1213724,879037,19265.46031746032
SCLON831061,235,093620,66,66,66,0,317138,35452,2402.560606060606
SCIAO510291,195,094340,54,50,54,4,487775,103502,4926.37037037037
SCBCN221060,195,094340,60,60,60,0,391105,47455,3259.208333333333
SCACT490131,219,092220,6,6,6,0,39895,39691,3324.583333333333
SCACT441491,224,093500,40,40,40,0,155948,36629,1949.35
SCACT440861,220,095120,6,6,6,0,1142694,1142403,95224.5
SUCRM700105,253,090900,8,9,9,0,6369819,6337941,374695.2352941177
SUCRM700093,219,094900,821,821,821,0,2751416,57008,1675.649208282582
SMSLS00330A,253,093740,24,24,24,0,484986,142339,10103.875
SUCRM102001,230,092130,173,173,173,0,1057072,140144,3055.121387283237
SPRTPQ21683,204,095130,6,6,6,0,4963,4781,413.5833333333333
SCACT420231,253,090430,750,750,750,0,1319349,28116,879.566
SUCRM300126,227,092340,12,12,12,0,105408,75731,4392.0
SCBCN581010,214,094810,57,48,58,9,3836718,2132995,40527.92173913043
