tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SPPFMDFEXEC,197,140720,5728,5728,5728,0,2380767,50332,207.8183484636872
SUCRM101002,233,145800,205,205,205,0,106995,4461,260.9634146341463
SCIOT931031,221,141600,510,383,510,127,6908025,299396,14118.99705882353
SCBCN581011,204,140240,84,69,84,15,1266129,600247,8571.297619047618
SCRAP720110,183,140250,11,9,11,2,27016,21697,1670.454545454545
SUCRM200022,229,141750,5,5,5,0,105639,104093,10563.9
SUIBS000581,187,141500,14,14,14,0,17307,5051,618.1071428571429
SUCRM307008,216,141340,142,144,144,0,39345795,1803447,137572.7097902098
STTBCT00007,179,141420,6,6,6,0,2617,2165,218.0833333333333
MCACCT00100,206,143500,12,12,12,0,0,0,0.0
SMCRM100014,162,140300,6,6,6,0,59045,58799,4920.416666666667
SMSLSP1536A,209,144320,6,6,6,0,755944,755690,62995.33333333334
SCIOT920151,187,141500,13,13,13,0,330614,234209,12715.92307692308
SCIOT980331,215,145220,24,24,24,0,238206,148051,4962.625
SCRAP207530,209,143300,12,12,12,0,2533,1177,105.5416666666667
SCCBS266103,216,141710,12,12,12,0,22387,12300,932.7916666666666
SCPDI345111,201,141520,12,12,12,0,679355,376548,28306.45833333333
SPRTPQ30041,210,141700,8,8,8,0,874189,562971,54636.8125
SCSOS620121,242,145300,486,486,486,0,1383510,94054,1423.364197530864
SUIBS000521,216,141340,45,45,45,0,37628,10228,418.0888888888889
SCPSO755351,203,143450,44,42,44,2,1061827,288984,12354.63636363636
SUCUSPC0063,220,142510,48,46,48,2,29280,7109,323.1458333333333
SCACT490201,191,140450,66,64,66,2,773372,212637,5908.113636363636
SUCRM100092,206,143500,45,45,45,0,74023,25267,822.4777777777778
SPWWMD01411,232,145040,9,10,10,0,1372571,1367328,72240.57894736843
SCPDI343201,213,145250,6,6,6,0,2976,2749,248.0
STTBNT00020,224,142920,5,5,5,0,114846,114713,11484.6
SCACT420871,198,143510,6,6,6,0,23393,23186,1949.416666666667
SCBAL870161,199,141430,7,7,7,0,533840,273264,38131.42857142857
SCPSI72152A,191,140450,12,12,12,0,1096139,618950,45672.45833333334
SCSOS620121,221,141600,294,294,294,0,602433,34025,1024.545918367347
SCACT490261,227,145010,6,6,6,0,4201,4044,350.0833333333333
SUCRM101016,207,143930,24,24,24,0,498074,135955,10376.54166666667
SCCBS270511,210,141620,4,3,3,1,274,132,39.14285714285715
SCPSI73152A,206,143050,12,12,12,0,43097,25872,1795.708333333333
SUCRM300010,219,140830,5,5,5,0,5525,5390,552.5
SCIOT980321,194,140630,14,14,14,0,334318,290168,11939.92857142857
STTBET1352B,218,141610,6,6,6,0,34454,34292,2871.166666666667
MCACCT00276,216,142020,2,2,2,0,0,0,0.0
SCIOT980141,209,145430,30,25,30,5,1547,189,422.4
SUCRM100022,225,142250,10,10,10,0,16366,7122,818.3
SCBCN151010,214,143730,10,9,10,1,53288,49194,3793.15
SCACT410011,232,145930,6,6,6,0,15888,15702,1324.0
SCBAL870352,221,141600,48,48,48,0,135052,25504,1406.791666666667
STTBKT00010,204,140840,6,6,6,0,32703,32537,2725.25
SPRTPQ27192,162,140300,15,15,15,0,266661,158458,8888.7
SCACT441001,216,144010,6,6,6,0,6797,6636,566.4166666666666
SCFOS670011,182,140640,24,24,24,0,88945,39485,1853.020833333333
SCACT490271,233,145800,136,136,136,0,223967,32031,823.4080882352941
SUCRM700007,224,144220,5,5,5,0,3967,3453,396.7
SUCRM100060,227,145010,5,5,5,0,5160,4666,516.0
SCACT450272,215,144130,31,18,31,13,579212,207416,11663.27419354839
SCACT430011,209,144320,6,6,6,0,310763,310600,25896.91666666667
SCSOS610231,214,143730,6,6,6,0,82184,81881,6848.666666666667
SUIBS000573,198,143510,6,6,6,0,3025,2754,252.0833333333333
SUCUS001181,226,145650,18,18,18,0,66161,24555,1837.805555555556
SUCRM100023,219,140830,45,45,45,0,1191271,256190,13236.34444444444
SCSOS610091,214,143730,249,249,250,0,652776,74906,1330.238476953908
SCBCN159020,208,144310,18,18,18,0,9423,3167,261.75
SCIOT980321,219,144330,20,20,20,0,140943,61179,3523.575
STTBCT10003,187,141500,6,6,6,0,14544,14339,1212.0
SUCRM300290,174,141050,6,6,6,0,2542,2394,211.8333333333333
SUCRM800102,216,144010,6,6,6,0,683726,683600,56977.16666666666
SCSOS610911,217,142710,112,96,112,16,400705,49269,2874.379464285714
SCIOT920071,227,145010,24,20,24,4,1150,172,1984.104166666667
SMSLSP1532A,242,145300,12,12,12,0,623182,309717,25965.91666666667
SCIOT930011,206,143050,8,8,8,0,130303,128508,8143.9375
SCIOT980141,219,140830,18,16,18,2,6463,5593,574.4722222222222
SUCRM101014,226,145650,6,6,6,0,87722,86481,7310.166666666667
SCRAP590151,203,141040,12,12,12,0,48381,26064,2015.875
STTBET1353A,218,140700,48,48,48,0,325250,57330,3388.020833333333
SCACT410111,203,141040,6,6,6,0,104708,104487,8725.666666666666
SUCUS00071S,213,145250,126,126,126,0,167217,25466,663.5595238095239
SCFOS676182,205,144050,4,3,3,1,230,135,32.85714285714285
SCACT450301,216,144010,50,50,50,0,195819,76779,1958.19
SCLON821181,222,143000,6,6,6,0,577943,577491,48161.91666666666
