tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCPSO755351,7,015710,14,12,14,2,198220,104082,7594.464285714285
SCRAP501000,7,015030,18,18,18,0,39652,10935,1101.444444444444
BBL001FDS02,7,011540,2,2,2,0,0,0,0.0
SCIOT930591,8,010640,5,5,5,0,257973,253618,25797.3
SCIOT980691,4,012320,103,102,103,1,1638170,274390,7990.368932038835
SCSOS630531,7,011010,12,12,12,0,83386,37567,3474.416666666667
SCBCN100210,6,015220,12,12,12,0,2017656,1005416,84069.0
SCACT441511,7,012530,12,12,12,0,23478,7637,978.25
BBL001FDS02,8,015040,1,1,1,0,0,0,0.0
SCRAP300530,7,010500,12,12,12,0,20417,6615,850.7083333333334
BPPFMCCEXEC,7,010150,594,297,297,297,1647048,22767,1848.538720538721
SCSOS630531,8,015510,30,30,30,0,131861,26076,2197.683333333333
SCRAP200530,6,013700,12,12,12,0,28631,7917,1192.958333333333
SPPFMHT001S,5,012740,105,105,105,0,153311,7198,730.052380952381
SCPSR782191,7,011250,1519,1672,1672,0,12627948,82529,3957.363835788154
SCIOT931041,5,013830,6,6,6,0,70215,20446,5851.25
SCBCN221020,7,011030,676,675,675,1,3595027,141256,2661.0118430792
SCSOS630291,7,010500,12,10,12,2,7736,3925,603.625
SCSOS620181,7,013710,22,22,22,0,226050,73565,5137.5
SCRAP207530,7,011450,18,18,18,0,32117,6030,892.1388888888889
SCIOT920241,7,013730,6,6,6,0,32799,28129,2733.25
SCSOS612111,5,013830,18,18,18,0,28110,5001,780.8333333333334
SCSOS630531,7,011920,6,6,6,0,16189,13207,1349.083333333333
SCTIS229451,7,014950,6,6,6,0,73023,66962,6085.25
SUCUSC0009S,7,013550,17,17,17,0,111193,56764,3270.382352941177
SCFOS675171,6,013840,12,12,12,0,79543,38526,3314.291666666667
SCIOT930581,7,011920,17,15,17,2,367073,164319,11277.32352941176
SCACT421712,7,012820,3,3,3,0,7066,7035,1177.666666666667
SCBCN100210,7,015610,12,12,12,0,2017569,1004485,84065.375
SCPSO755154,6,015140,6,6,6,0,10999,5750,916.5833333333334
SCACT442401,6,013210,18,15,18,3,10650,4472,3370.611111111111
SCBCN221050,6,015220,143,142,142,1,826724,135762,2900.785964912281
SCIOT930061,7,011920,6,6,6,0,47886,44944,3990.5
SCSOS630531,7,015120,12,12,12,0,87868,54050,3661.166666666667
SPRATD54021,6,013810,8,8,8,0,39129,21238,2445.5625
SCIOT930061,7,010020,14,12,14,2,142857,93156,5549.321428571428
SCCRD200003,7,012530,14,13,14,1,82013,62152,6730.535714285715
SCACT441511,7,013130,6,6,6,0,19631,16527,1635.916666666667
SCPDI344461,7,010430,6,6,6,0,133101,130127,11091.75
SCACT445532,6,015140,64,64,64,0,185752,10382,1451.1875
SCSOS644131,6,015300,12,12,12,0,22830,7236,951.25
SCIOT931041,7,012500,20,20,20,0,128519,59158,3212.975
SPRWMD7001H,7,010430,6,6,6,0,4772,4620,397.6666666666667
SCACT445532,7,014840,18,18,18,0,67250,10101,1868.055555555556
SCPDI344461,7,014130,6,6,6,0,124405,121378,10367.08333333333
SCIOT980691,6,013720,50,49,51,1,1354663,271505,13569.40594059406
SCACT447591,7,012130,6,6,6,0,54886,50887,4573.833333333333
SCIOT920011,6,013700,6,6,6,0,87447,83676,7287.25
SCIOT931001,8,013430,29,25,29,4,979528,435073,17667.12068965517
SCRAP400600,7,011700,12,12,12,0,24511,6556,1021.291666666667
SCSOS644131,7,015850,10,10,10,0,21607,8744,1080.35
SCRAP300530,7,010020,17,16,16,1,28599,6414,866.6363636363636
SPPFMHT001S,7,012820,40,40,40,0,54781,5027,684.7625
SCIAO510291,8,010640,2,2,2,0,36346,32251,9086.5
SCBCN100200,7,011320,18,18,18,0,22725,5597,631.25
SCBCN100200,7,010950,12,12,12,0,14132,3885,588.8333333333334
SCACT442501,6,013100,3,3,3,0,3662,3626,610.3333333333334
SCACT400341,8,015040,6,6,6,0,66075,62158,5506.25
SCCBS235171,7,013710,3,3,3,0,3310,3266,551.6666666666666
SCSOS620151,7,013750,15,15,15,0,29025,14997,967.5
SCACT421712,6,013340,3,3,3,0,4519,4487,753.1666666666666
SCACT445861,7,014600,6,6,6,0,69970,63307,5830.833333333333
SCACT445901,7,010940,9,9,9,0,58338,38219,3241.0
