data_time,so2_avg,co_avg,o3_avg,no2_avg,pm10_avg
2006-01-06, 0.006, 0.5, 0.013, 0.022,   35
2006-01-01, 0.008, 0.8, 0.002, 0.039,   59
2006-01-02, 0.008, 0.7, 0.010, 0.028,   65
2006-01-03, 0.007, 0.5, 0.015, 0.022,   30
2006-01-04, 0.006, 0.4, 0.015, 0.018,   27
2006-01-05, 0.005, 0.5, 0.012, 0.025,   33
2006-01-07, 0.006, 0.5, 0.012, 0.023,   34
2006-01-08, 0.006, 0.9, 0.006, 0.040,   39
2006-01-09, 0.008, 1.1, 0.002, 0.051,   53
2006-01-10, 0.009, 1.1, 0.005, 0.046,   78
